name,publications,citations
SV Natl Inst Technol SVNIT,1,8
Jaslok Hosp & Res Ctr,3,17
Shiv Nadar Univ,8,20
Bal Krishna Inst Technol,1,11
Career Point Univ,1,11
VBSPU,1,20
Rajasthan Tech Univ,4,34
Veer Surendra Sai Univ Technol,3,20
Aditya Inst Technol & Management,2,19
Triveni Devi Bhalotia Coll,1,0
City Coll,1,0
SL Raheja Hosp,4,7
Graph Era Deemed Univ,2,0
Ravenshaw Univ,1,0
NGF Coll Engn & Technol,1,0
Proteininsights,1,0
Gauhati Univ,12,123
Indian Inst Management Bodh Gaya,1,4
Indian Inst Management Lucknow,5,17
Indian Inst Management Rohtak,2,5
Soban Singh Jeena Univ,3,3
Kumaun Univ,18,106
Sona Coll Arts & Sci,1,0
MGR Coll,1,0
Priyadarshini JL Coll Pharm,1,0
Gurunanak Coll Pharm,1,0
MAHE,4,8
Acad Family Phys India AFPI,1,0
BITS Pilani,5,41
Bangalore Univ,2,0
Univ North Bengal,10,24
Indian Inst Informat Technol Allahabad,6,9
Majlis Arts & Sci Coll,1,8
MES Coll Marampally,1,8
Providence Womens Coll,1,8
Pushpagiri Inst Med Sci & Res,1,8
Natl Inst Pharmaceut Educ & Res,11,78
JECRC Univ Jaipur,1,9
BKL Walawalkar Rural Med Coll,3,63
MMU Med Coll,1,9
Inst Nucl Med & Allied Sci,3,7
Council Sci & Ind Res Inst Himalayan Bioresource,1,1
Translat Hlth Sci & Technol Inst,8,69
CSIR Cent Sci Instruments Org,3,69
Inst Pulmocare & Res,1,0
Tata Consultancy Serv Ltd,1,3
Bishop Heber Coll Autonomous,1,0
NRS Med Coll & Hosp,2,0
Paras HMRI Hosp,1,0
Inst Haematol & Transfus Med,1,0
Army Hosp,1,0
Narayana Super Specialty Hosp,1,0
Natl Inst Immuno Haematol,1,0
SCB Med Coll,3,13
Ch Ranbir Singh State Inst Engn & Technol,4,10
Doon Univ,6,13
SKUAST K,1,0
Annamalai Univ,3,12
St Berchmans Coll Autonomous,3,11
Dr Lankapalli Bullayya Coll,2,2
Natl Inst Technol Rourkela,5,4
Maharaja Ranjit Singh Punjab Tech Univ,5,7
MVJ Coll Engn,1,0
Sri Guru Granth Sahib World Univ,2,46
Asian Inst Gastroenterol,3,27
Gleneagles Global Hlth City,2,1
BGS Gleneagles Global Hosp,1,1
Bundelkhand Med Coll Sagar,1,0
Guru Ghasidas Vishwavidyalaya,4,16
Int Ctr Genet Engn & Biotechnol ICGEB,5,3
Indira Gandhi Natl Tribal Univ,3,2
Govt VYTPG Autonomous Coll,1,1
Cochin Canc Res Ctr,1,36
Dayanand Med Coll & Hosp,5,10
Tata Med Ctr,3,1
Ganga Med Ctr & Hosp Pvt Ltd,1,1
Max Hosp,2,15
Kailash Canc Hosp & Res Ctr,1,94
Calcutta Natl Med Coll,1,1
Siksha O Anusandhan Deemed Univ,8,48
ICARE Inst Med Sci & Res,1,34
Nalanda Med Coll & Hosp,1,34
Guru Nanak Dev Univ Coll,2,31
IK Gujral Punjab Tech Univ,2,31
Sri Guru Angad Dev Coll,2,31
Asian Healthcare Fdn,2,156
Indian Inst Technol Tirupati,3,71
Univ Petr & Energy Studies UPES,1,18
Inst Post Grad Med Educ & Res,8,41
Maharishi Markandeshwar Deemed Be Univ,5,25
Kolkata Municipal Corp,2,18
KS Rangasamy Coll Technol,1,0
Maulana Abul Kalam Azad Univ Technol,5,1
Saveetha Sch Engn,1,0
Saveetha Inst Med & Tech Sci SIMATS,1,0
Devi Ahilya Vishwavidyalaya,1,1
SV Natl Inst Technol,1,0
Naysari Agr Univ,1,0
Bhabha Atom Res Ctr,12,31
DY Patil Educ Soc,4,3
Dehradun Inst Technol DIT Univ,1,1
BCDA Coll Pharm & Technol,2,7
Womens Coll,3,9
Maharaja Bir Bikram Coll,2,7
SVNIT,1,1
JESITMR,1,1
Lokmanya Tilak Municipal Gen Hosp & Med Coll,6,52
Tocklai Tea Res Inst,1,0
Natl Inst Elect & Informat Technol,2,0
JIS Coll Engn,3,9
Natl Inst Sci Educ & Res Bhubaneswar,1,1
Cent Salt & Marine Chem Res Inst,2,0
Gujarat Maritime Board,1,0
Maharaja Agrasen Inst Technol,7,75
HealthCare Global Enterprises Ltd HCG,1,0
Govt Vidarbha Inst Sci & Humanities,1,0
Amolakchand Mahavidyalaya,1,0
Natl Inst Anim Biotechnol,1,0
ICAR Indian Vet Res Inst IVRI,2,0
Shri Ramdeobaba Coll Engn & Management,1,2
Deemed Univ,7,51
Christ Univ,1,10
Amer Coll,1,10
Hinduja Hosp Khar,1,2
Fortis Mem Res Inst,5,25
JJ Hosp & Grant Med Coll,1,2
CSIR Cent Salt & Marine Chem Res Inst,1,5
Model Rural Hlth Res Unit,2,3
Royal Global Univ,2,3
Veer Bahadur Singh Purvanchal Univ,2,23
Dr Ram Manohar Lohia Hosp,6,8
Inst Human Behav & Allied Sci,1,1
Rajiv Gandhi Super Special Hosp,1,1
Pravara Inst Med Sci,1,2
Publ Hlth Res Inst India,1,2
Kongunadu Arts & Sci Coll Autonomous,1,1
Inst Life Sci,3,3
Reg Med Res Ctr,2,6
GB Pant Natl Inst Himalayan Environm,2,2
BMS Inst Technol & Management,2,0
IMS & SUM Hosp,2,4
Midnapore Coll Autonomous,2,6
North Bengal Univ,1,1
Global Inst Sci & Technol,1,1
SIMS Hosp,2,0
MGM Med Coll & Hosp,2,13
Indian Inst Publ Hlth Hyderabad IIPH H,1,0
Inst Integrat Omics & Appl Biotechnol IIOAB,4,11
Govt Coll Pharm,2,1
Shyam Shah Med Coll,1,0
Cent Univ Karnataka,2,1
Gulbarga Univ,2,0
TruFactor InMobi Grp,1,1
Populat Council,2,29
JSS Hosp,1,2
Herbertpur Christian Hosp,1,2
Nirmala Coll Pharm,1,3
Rahat Hosp & Res Ctr,1,1
Land & Land Reforms & Refugee Relief & Rehabil De,1,0
Salesian Coll,1,0
Sardar Patel Renewable Energy Res Inst,1,0
Poornima Coll Engn,1,0
Poornima Univ,1,0
Sanjay Gandhi Post Grad Inst Med Sci,8,21
Dr Rajendra Prasad Cent Agr Univ Pusa,1,0
Guru Angad Dev Vet & Anim Sci Univ,6,15
Vishwa Bharati Publ Sch,1,1
Govt Inst Forens Sci,1,2
Gandhi Med Coll Bhopal,1,2
Inst Postgrad Med Educ & Res & Seth Sukhlal Karna,1,2
Employee State Insurance Post Grad Inst Med Sci &,1,2
Publ Hlth Fdn India,10,54
Bangalore Baptist Hosp,4,3
Int Inst Populat Sci,3,5
Datta Meghe Inst Med Sci,1,2
Sheri Kashmir Inst Med Sci,1,2
Jawaharlal Nehru Ctr Adv Sci Res,3,4
Sankhya Sutra Labs,1,2
Bangalore Bioinnovat Ctr,1,2
Causal Biomodels,1,0
Management Dev Inst Gurgaon,2,2
Mahindra United World Coll,1,0
Dr B Lal Inst Biotechnol,1,6
Dr B Lal Clin Lab Pvt Ltd,1,6
Inst Adv Study India,1,0
KR Mangalam Univ,1,1
PDM Univ,1,1
Ramaiah Med Coll,1,0
Saraswati Dhanwantri Dent Coll & Hosp & Post Grad,1,2
Narayana Dent Coll & Hosp,1,2
Sapienza Univ Rome,1,2
Maharishi Markandeshwar Deemed Univ,2,420
Indian Inst Technol Bhubaneswar,12,75
Adesh Inst Med Sci & Res,2,1
Smt NHL Municipal Med Coll,2,2
Adesh Med Coll & Hosp,1,1
Pramukhswami Med Coll,2,3
Sri Guru Ram Das Univ Hlth Sci,1,1
Mahatma Gandhi Med Coll,1,0
Cent Agr Univ,3,1
ICAR Cent Soil Salin Res Inst,1,0
GTC Colony,1,0
ICAR Indian Agr Res Inst,2,0
Reg Off Itanagar,1,0
Palamuru Univ,1,0
Cent Council Res Siddha,2,0
Siddha Cent Res Inst,1,0
Indian Inst Sci Educ & Res Mohali,2,1
VFSTR Deemed Univ,1,0
Bapatla Engn Coll,1,0
Ortin Labs Pvt Ltd,1,0
Inst Neurosci,2,1
Vikram Hosp,2,2
Nizams Inst Med Sci,4,9
Shree Krishna Hosp,1,1
Jaslok Hosp,1,1
Medanta Hosp,5,111
Coll Med,1,0
Sagore Dutta Hosp,1,0
All India Inst Hyg & Publ Hlth,1,0
Med Coll & Hosp,4,5
WHO RNTCP Tech Support Network,1,0
St Josephs Coll Engn,3,29
Swami Ramanand Teerth Rural Med Coll,1,0
Galgotias Coll Engn & Technol,3,0
Teeth N Jaws Ctr,3,6
Panipat Inst Engn & Technol,1,0
SRM Univ,5,5
GIET Univ,5,28
Sethu Inst Technol,2,1
Vidya Bharati Mahavidyalaya,3,6
Dr Babasaheb Ambedkar Marathwada Univ,6,72
Govt Coll Arts & Sci,2,6
Gujarat Univ,15,76
Integral Univ Lucknow,1,6
Indian Inst Engn Sci & Technol,9,53
North Delhi Municipal Corp Med Coll,1,0
Hindu Rao Hosp,2,58
Seth GSMC & KEM Hosp,2,27
SPDM Govt Girls Coll,1,0
Chandigarh Coll Pharm,1,0
Indian Inst Management Bangalore,3,26
Deemed Be Univ,4,4
CSIR North East Inst Sci & Technol CSIR NEIST,1,1
Sanjay Gandhi Postgrad Inst Med,1,0
Super Specialty Canc Inst & Hosp,4,3
Super Special Canc Inst & Hosp,2,4
Dr Ram Manohar Lohia Inst Med Sci,3,11
Community Hlth Initiat,1,2
Indian Inst Management Sirmaur Poanta Sahib,1,21
BLK Super Special Hosp,5,39
SP Pune Univ Campus,1,1
Chandigarh Pollut Control Comm,1,7
Aravind Eye Hosp Chennai,1,12
Prakash Netra Kendr,1,12
Sankara Eye Hosp,3,17
Retina Inst Karnataka,1,12
Narayana Nethralaya Eye Inst,4,84
Eydox Eye Hosp,1,12
Shroff Char Eye Hosp,1,12
Vis Plus Eye Ctr,1,12
Sankara Nethralaya,8,118
Sarakshi Nethralaya,1,12
Army Hosp R&R,1,12
Aditya Jyot Eye Hosp,9,194
Ctr Sight,19,223
Aravind Eye Hosp,10,50
Giridhar Eye Hosp,1,12
Indira Gandhi Inst Med Inst Med Sci,1,12
Manipal Hosp,13,69
Visitec Eye Ctr,1,13
Sri Sankaradeva Nethralaya,3,75
Narayana Netralaya,1,13
Sir Gangaram Hosp,2,71
Indian Journal Ophthalmol,2,71
Nethradhama Super Special Eye Hosp,1,13
George Inst Global Hlth India,1,24
Unit Dr Agarwals Eye Hosp,1,41
Foresight Int,2,105
Dr Gogates Eye Clin,2,45
Padmashri DY Patil Med Coll,1,41
Hi Tech Eye Inst & Laser Ctr,1,41
Indira Gandhi Inst Med Sci,3,99
Minto Ophthalm Hosp,2,27
Bangalore Med Coll & Res Inst,10,72
Cosmetiq Clin,1,0
Banasthali Univ,1,21
Panjab Univ PU,1,28
GNCT Delhi,2,6
VIT Vellore,1,1
Narayana Nethralaya,8,55
Narayana Nethralaya Fdn,6,48
KNR Univ Hlth Sci,1,4
Sri Guru Ram Das Inst Med Sci & Res,1,4
Deccan Med Coll,1,4
South Cent Railway Hosp,1,4
Gandhi Med Coll,1,4
Rajeev Gandhi Mem Coll Engn & Technol,1,6
Indian Meteorol Dept,4,13
Adarsa Coll Pharm,1,12
Andhra Univ,5,23
Govt Coll A,1,12
Adhra Med Coll,1,12
Steril Gene Life Sci,1,4
HealthCare Global Enterprises Ltd,1,6
Navodaya Dent Coll & Hosp,1,6
Sri Venkateswara Dent Coll & Hosp,1,4
Bharathirajaa Hosp & Res Inst,1,4
Govt Dent Coll & Hosp,4,36
Indira Gandhi Govt Med Coll & Hosp,2,21
CORE Grp Polio Project India,2,1
Raghudeep Eye Hosp,1,1
Pink City Eye Hosp,1,1
Surya Eye Inst & Res Ctr,1,21
Vitreoretinal Soc India,1,21
Natl Inst Mental Hlth Neurosci NIMHANS,1,3
Natl Inst Mental Hlth & Neuro Sci NIMHANS,8,11
Tamil Nadu Vet & Anim Sci Univ,5,32
Govind Ballabh Pant Engn Coll,1,22
A-302 Adarsh Gardens,1,0
Jaipuria Inst Management,1,1
LKG Punjab Tech Univ,1,0
CSIR Cent Food Technol Res Inst,3,18
Indian Inst Engn Sci & Technol IIEST,4,6
Larsen & Toubro Infotech Ltd,1,0
Cognizant Technol Solut,1,0
Max Superspecialty Hosp,1,0
ACTREC,2,0
BLK Superspecial Hosp,1,0
Fortis Mem Hosp,1,0
Avinash Canc Clin,1,0
Jawahar Lal Nehru Hosp & Res Ctr,1,0
IIT Hyderabad,1,1
YB Chavan Coll Pharm,1,0
Raja Lakshmi Sch Business,1,17
Pt Jawahar Lal Nehru Mem Med Coll,1,7
Cotton Univ,4,5
ProteinInsights,1,0
Nichi In Ctr Regenerat Med NCRM,1,0
Nurithm Labs Private Ltd,1,1
Maharaja Bir Bikram Univ,2,1
Inst Engn & Rural Technol,1,0
Presidency Univ,13,129
Indian Inst Informat Technol,4,3
Indian Inst Technol Ropar,3,3
Biju Patnaik Univ Technol,1,0
Kanak Manjari Inst Pharmaceut Sci,2,2
Amala Inst Med Sci,1,0
Med Superspecial Hosp,1,0
Associated Lok Nayak Hosp,1,0
Tamralipta Mahavidyalaya,3,48
Ramsaday Coll,3,48
Natl Inst Technol Durgapur,5,17
Natl Inst Technol Arunachal Pradesh,1,15
Govt Coll Jaitwara,2,13
Kanchi Kamakoti CHILDS Trust Hosp,4,18
SRCC Childrens Hosp,4,17
Jupiter Hosp,2,9
Sheri I Kashmir Inst Med Sci,1,0
Dr Pinnamaneni Siddhartha Inst Med Sci & Res Fdn,1,0
Army Inst Cardiothorac Sci,2,6
OP Jindal Global Univ,5,36
Safdarjang Hosp & VMMC,1,0
Govt India,24,38
Univ Coll Engn,2,1
Hindustan Inst Technol,1,1
Lady Brabourne Coll,2,0
Stella Maris Coll,2,2
Loyola Coll,3,5
Minist Earth Sci Pune,1,1
Minist Earth Sci,5,9
Indian Inst Technol Patna,3,9
Chennai Crit Care Consultants,2,1
Rajendra Inst Med Sci,5,54
Vishwaraj Hosp,2,1
Hinduja Hosp,4,2
Sanjeevan Hosp,2,1
Symbiosis Univ Hosp & Res Ctr,2,1
ICAR NRCE,1,0
CCS Haryana Agr Univ,3,0
Guru Jambheshwar Univ,1,0
Indian Council Agr Res,3,9
Maharishi Arvind Coll Pharm,1,0
Chilika Dev Author,2,6
Minist Environm Forest & Climate Change,1,0
Kasturba Hosp Infect Dis,6,36
PD Hinduja Hosp,4,4
Mrinalini Datta Mahavidyapith,1,0
Saveetha Inst Med & Tech Sci,5,2
Centurion Univ Technol & Management,4,19
Rajindra Hosp,1,0
Bharati Vidyapeeth,2,0
Natl Capital Reg Biotech Sci Cluster,1,0
Uttar Pradesh Tech Support Unit UP TSU,1,330
Sun Med & Res Ctr,2,38
CHRIST,1,26
Jawaharlal Nehru Med Coll,3,172
Sher Kashmir Univ Agr Sci & Technol,1,2
Sher E Kashmir Univ Agr Sci & Technol,1,2
Uttaranchal Inst Pharmaceut Sci,1,0
UP Pt Deen Dayal Upadhyaya Vet Sci Univ,1,0
CSIR Inst Himalayan Bioresource Technol,3,3
Bal Umang Drishya Sanstha BUDS,1,0
Indian Acad Pediat,2,0
MRD Life Sci Pvt Ltd,1,0
Invertis Univ,2,0
90-66 A,1,0
Aspirat Acad Osmanpura,1,0
Mysore Med Coll & Res Inst,1,0
Mahatma Gandhi Cent Univ,6,54
TMBU,2,1
GRID Council,1,2
Gujarat Med Educ & Res Soc Med Coll,1,2
UGC DAE Consortium Sci Res,1,2
Guru Gobind Singh Coll Pharm,2,0
GD Goenka Univ,2,0
Chaitanya Bharathi Inst Technol,1,0
Silico Res Lab,1,4
LeGene Biosci Pvt Ltd,1,4
TERI Sch Adv Studies,6,11
Forest Res Inst FRI,2,7
SOA Deemed Be Univ,1,2
Govt Dent Coll,1,2
BVM Coll Pharm,3,5
Meerut Inst Engn & Technol,3,5
All India Inst Med Sci New Delhi,2,3
Krishna Univ Dr MRAR PG Ctr,1,0
Higher Educ Dept,2,76
Sakra World Hosp,1,1
Ramaiah Mem Hosp,1,1
Columbia Asia Hosp 6 4,1,1
People Tree Hosp,1,1
Vydehi Inst Med Sci,1,1
Bangalore Neuro Ctr,1,1
Mazumdar Shaw Med Ctr,1,1
Ahmedabad Univ,1,2
Camellia Inst Technol,1,2
StemOnc R&D Private Ltd,1,16
Mangla Hosp & Res Ctr,2,4
Kumar Child Clin,1,4
Dwarkadas J Sanghvi Coll Engn,1,0
Shobhaben Pratapbhai Patel Sch Pharm & Technol Ma,1,0
Dr DY Patil Biotechnol & Bioinformat Inst,1,1
MIT ADT Univ,2,7
Manasvi,1,6
Indian Law Soc,2,16
Voluntary Hlth Serv,1,0
Tata Inst Fundamental Res,7,95
ICMR,8,124
PRM Med Coll & Hosp,1,0
Gunam Multispecial Hosp,1,0
King George Hosp,1,0
Safdarjung Hosp Campus,1,1
Rajarajeswari Dent Coll & Hosp,1,0
Peerzadiguda,1,0
Kerala Univ Fisheries & Ocean Studies KUFOS,2,2
Natl Environm Engn Res Inst NEERI,1,0
Bombay Nat Hist Soc BNHS,1,0
IUCN SSC WI Freshwater Fish Specialist Grp FFSG,1,0
Biodivers Res & Conservat Soc,1,0
St Alberts Coll,1,0
Aaranyak,1,0
Kerala Forest Res Inst KFRI,1,0
Zoo Outreach Org ZOO,1,0
GSVM Med Coll,3,6
Vivekananda Polyclin & Inst Med Sci,1,0
Prathyusha Engn Coll,4,1
SCMS Inst Biosci & Biotechnol,1,1
Seethapathy Clin & Hosp,1,5
GITAM Univ,3,4
UGC DAE Consortium Sci Res Kolkata Ctr,1,4
Ramakrishna Mission Vidyamandira,3,4
Kidwai Mem Inst Oncol,1,2
Commiss Ecosyst Management CEM,1,52
BLDE Deemed Univ,2,20
CSIR Inst Minerals & Mat Technol CSIR IMMT,3,10
PSG Coll Arts & Sci,3,11
Univ Grants Commiss,1,6
Madras ENT Res Fdn,1,9
Gauhati Med Coll,1,5
Gangadhar Meher Univ,1,3
Pandit Ravishankar Shukla Univ,1,3
KD Hosp,2,2
Gem Hosp & Res Ctr,1,0
KIMS Livlife Ctr,1,0
Kular Hosp P Ltd,1,0
Max Super Specialty Hosp,3,3
Belle Vue,1,0
Apollo Spectra Hosp,1,0
Shreeji Hosp,1,0
Max Smart Super Special Hosp,2,2
Shree Hosp,1,0
IITD,1,13
Techno Int New Town,1,13
Mukand Lal Natl Coll,1,1
Multani Mal Modi Coll,1,1
Dayalbagh Educ Inst Deemed Univ,1,1
Govt Coll Engn & Text Technol,1,1
Jagadis Bose Natl Sci Talent Search,1,1
Ctr Interdisciplinary Res & Educ,1,1
KIIT Deemed Univ,2,3
ESIC Med Coll & Hosp,3,15
St Longowal Inst Engn & Technol,1,0
Bhagwant Inst Technol,1,0
Natl Inst Technol Silchar,4,5
MIOT Int Hosp,1,2
VIT Univ,5,20
Univ Grants Commiss UGC FRP,3,1
ICMR Natl Inst Res Environm Hlth,1,0
Cent Univ Tamil Nadu,4,2
Saveetha Dent Coll & Hosp,2,2
Govt Coll Engn & Leather Technol,1,1
Haldia Inst Technol,1,0
Rajagiri Business Sch,3,11
Topiwala Natl Med Coll & BYL Nair Ch Hosp,1,4
Gujarat Biotechnol Res Ctr GBRC,3,56
Indian Robot Solut Pvt Ltd IRS,1,11
Amity Inst Psychol & Allied Sci,1,0
NCR Biotech Sci Cluster,3,12
CSIR Natl Environm Engn Res Inst CSIR NEERI,4,59
ICAR Cent Inst Brackishwater Aquaculture,1,3
Indian Space Res Org,9,36
Kumaraguru Coll Technol,1,1
Tata Consultancy Serv,1,0
Mohanlal Sukhadia Univ,4,4
North Eastern Reg Inst Sci & Technol,2,1
ICAR Res Complex,2,2
Ramakrishna Mission Vivekananda Educ & Res Inst,2,1
Ctr Dev Adv Comp C DAC,2,11
Homi Bhabha Canc Hosp,2,4
CSIR Natl Environm Engn Res Inst,3,12
Inst Nano Sci & Technol,2,4
Natl Ctr Biol Sci,1,3
GD Hosp & Diabet Inst,3,97
College Med & JNM Hosp,1,62
Indian Inst Publ Hlth Delhi,1,1
Motihari Coll Engn,4,45
Prantae Solut Private Ltd,1,3
Vels Inst Sci Technol & Adv Studies,2,52
Rajalakshmi Engn Coll,2,14
ACS Med Coll & Hosp,1,13
IILM Coll Engn & Technol,1,8
NDMC Med Coll,2,83
RD Gardi Med Coll,1,2
UP Pandit Deen Dayal Upadhayay Pashu Chikitsa Vig,7,104
Peerless Hosp,1,1
Sanjay Gandhi Postgrad Inst Med Sci SGPGIMS,2,35
SMS Med Coll & Attached Grp Hosp,1,3
St Xaviers Coll Autonomous,1,0
Sri Balaji Vidyapeeth SBV Deemed Be Univ,1,1
Indian Council Med Res ICMR,4,46
MGM Inst Hlth Sci,2,0
IIIT Delhi,1,1
IPGMER Kolkata,1,1
AIIMS Rishikesh,1,0
Superspecial Pediat Hosp & PG Teaching Inst,1,0
Sarvodaya Hosp & Res Ctr,1,0
MUC Womens Coll,1,0
Visvesvaraya Technol Univ,1,0
Glocal Univ,2,3
IKG Punjab Tech Univ,2,3
Shoolini Univ,3,16
Laureate Inst Pharm,1,0
Ctr Data Anal Res & Training CDART,1,1
Int Crops Res Inst Semi Arid Trop,3,15
Indian Immunol Ltd IIL,1,4
Jehangir Hosp,1,2
Savitribai Phule Univ,1,2
IIITDM Kancheepuram,1,0
Data Foundry,1,0
Apollo Main Hosp,2,30
Sherikashmir Inst Med Sci,2,6
Chest Dis Hosp,1,6
Govt Degree Coll,1,3
ICAR Indian Inst Sugarcane Res,1,8
CSA Univ Agr & Technol,1,8
FLAME Univ,1,3
ICFAI Business Sch,1,3
Sukoon Psychotherapy Ctr,1,3
Saifee Hosp,3,1
Bharti Hosp,2,2
MMDU,2,22
South Asian Univ,2,2
Assam Agr Univ,2,2
Med Coll,1,7
Indian Inst Technol Jammu,1,14
Veer Narmad South Gujarat Univ,3,25
Bhabha Atom Res Ctr BARC,1,1
Sikkim Univ,1,4
Vellore Inst Technol VIT,3,14
Indian Inst Space Sci & Technol IIST,1,1
Natl Highway Author India,1,0
Dronacharya Coll Engn,1,0
IUCN,1,0
CSIR Natl Bot Res Inst,2,6
Birla Inst Technol Mesra,2,11
ABN Seal Coll,1,1
Gushkara Mahavidyalaya,1,1
Modern Coll Arts Sci & Commerce,1,1
Krishna Chandra Coll,1,1
All India Ophthalmol Soc,7,78
Shreeji Eye Clin,1,1
Palaks Glaucoma Care Ctr,1,1
L V Prasad Eye Inst,1,1
MGM Eye Inst,1,0
Post Grad Inst Ophthalmol,2,16
CBM,1,1
Postgrad Inst Ophthalmol,1,0
Mahathma Eye Hosp Pvt Ltd,1,1
Anderson Diagnost,1,1
Deenanath Mangeshkar Hosp & Res Ctr,2,1
Madhyanchal Profess Univ,1,1
Islamic Univ Sci & Technol,2,1
ICAR Cent Avian Res Inst,2,6
Indira Gandhi Natl Open Univ,1,0
BN MANDAL Univ,2,5
MBM Engn Coll,1,3
DBT Natl Inst Anim Biotechnol NIAB,1,0
Prasannadeb Womens Coll,1,1
SN Bose Natl Ctr Basic Sci,1,5
NIT Srinagar,1,12
Pramukhswarni Med Coll,1,2
PBDS UHS,1,2
Etiologically Elus Disorders Res Network EEDRN,2,7
Banaras Hindu Univ BHU,3,7
Community Welf Fdn India,1,1
KGMU Lucknow,1,60
Khallikote Univ,4,42
Indian Inst Chem Technol,1,0
ZunaChem Pvt Ltd,1,0
ICMR Headquarters,1,1
Univ Petr,1,1
KSRM Coll Engn A,1,0
Sree Vidyanikethan Engn Coll,1,0
Velagapudi Ramakrishna Siddhartha Engn Coll,2,6
United Engineers,1,0
M Kumarasamy Coll Engn,1,0
Saveetha Engn Coll Saveetha Nagar,1,0
Univ VOC Coll Engn,1,0
Graph Era Hill Univ,4,1
Pratiksha Inst Pharmaceut Sci,3,9
Smt SM Panchal Sci Coll,1,0
Reg Ctr Biotechnol,2,1
Int Dev Econ Associates IDEAs,1,1
IISc Bangalore,1,0
Bioinformat Grp,1,17
Electron Microscopy & Histopathol Grp,1,17
Natl Inst Virol,5,57
Diagnost Virol Grp,2,15
Maximum Containment Lab,4,80
Maximum Containment Facil,1,13
Sch Publ Hlth,1,41
Natl Inst Epidemiol,5,115
ICMR Sch Publ Hlth,2,88
Influenza Grp,3,65
Electron Microscopy,1,48
Bioinformat & Data Management Grp,2,48
King Inst Prevent Med & Res,2,28
Sawai Man Singh Med Coll,2,21
Gandhi Med Coll & Hosp,2,17
Byramjee Jeejeebhoy Med Coll,2,17
Gauhati Med Coll & Hosp,4,19
Enter Virus Grp,1,6
Anim House,1,6
Entomol Grp,1,6
Poliovirus Grp,1,6
Natl Ctr Dis Control,4,61
Hemwati Nandan Bahuguna Garhwal A Cent Univ,1,1
Hemwati Nandan Bahuguna Garhwal Univ,1,1
Gurukul Kangri Vishwavidhyalya,1,1
Coll Dent Sci & Hosp,1,1
Vijaygarh Jyotish Ray Coll,1,1
IIT Kanpur,4,38
ICAR Indian Inst Soil Sci,1,0
Modern Coll,1,10
DY Patil Educ Soc Inst Deemed Be Univ,2,30
Sir Parashurambhau Coll,1,10
Bhanwar Singh Porte Govt Sci Coll,1,14
Punyashlok Ahilyadevi Holkar Solapur Univ,1,6
Basic HealthCare Serv,1,2
Indian Fdn Fundamental Res,1,1
ICMR Natl Inst Malaria Res,4,9
Sree Gokulam Med Coll,2,1
Inst Child Hlth,3,0
Jai Narayan Vyas Univ,1,1
Deen Dayal Upadhyaya Gorakhpur Univ,1,4
Kumaun Univ Uttarakhand,2,5
Board Directors Venture Ctr,1,2
Project DEFY,1,5
Nitte Deemed Univ,4,7
Kuvempu Univ,1,3
Gurukula Kangri Vishwavidyalaya,2,6
Apollo & Gleneagles Global Hosp,1,0
Indian Inst Technol Hyderabad India,1,2
Dr DY Patil Vidyapeeth Deemed Univ,1,3
Inst Adv Res,4,11
Inst Med Sci,3,9
SUM Hosp,1,0
Motilal Nehru Natl Inst Technol,2,0
Med & Hlth,1,0
COVID Care Ctr,1,0
Karnavati Univ,6,19
PDPM Indian Inst Informat Technol Design & Mfg,3,8
Kasturba Med Coll & Hosp,9,21
Jubilee Mission Med Coll & Res Inst,1,1
Sri Sai Grp Inst,1,1
Dr SN Med Coll,3,3
Cent Agr Univ I,2,0
Community Hlth Ctr,1,0
RG Kar Med Coll & Hosp,2,7
Silchar Med Coll & Hosp,2,11
Gyan Ganga Inst Technol & Sci,1,0
Indian Inst Sci Educ & Res Mohali IISER Mohali,1,4
Indraprastha Apollo Hosp Delhi,1,4
Tirunelveli Dakshina Mara Nadar Sangam TDMNS Coll,1,3
Cent Inst Psychiat,3,11
Lalit Narayan Mithila Univ,3,12
Meditrina Inst Med Sci,1,2
Maulana Azad Med Coll & LN Hosp,1,0
Maharashtra Inst Med Sci & Res,1,3
Ashwini Rural Med Coll,1,3
Maharashtra Univ Hlth Sci,2,35
Datta Meghe Coll Physiotherapy,1,3
Meenakshi Acad Higher Educ & Res Deemed Be Univ,1,4
Naarayani Multispecial Hosp,1,4
Univ New South Wales UNSW,1,2
Manipal Acad Higher Educ MAHE,5,14
KLE Acad Higher Educ & Res KAHER,4,10
NITTE Deemed Be Univ,1,5
Goa Univ,10,76
SSKM Hosp,6,66
Sri Krishna Coll Technol,1,0
Gandhi Inst Technol Adv,2,0
Rajalakshmi Sch Business,1,0
Inst Management Technol Nagpur,1,0
Medanta,1,7
Charotar Univ Sci & Technol,1,3
Indian Acad Degree Coll Autonomous,1,3
Sumandeep Vidyapeeth,2,3
Kristu Jayanthi Coll Autonomous,1,3
Badarpur Said Tehsil Tigaon,1,3
PhiXGen Private Ltd,2,7
Energy & Resources Inst,2,7
Thapar Inst Engn & Technol Deemed Univ,1,0
Netaji Subhas Univ Technol,3,1
Motilal Nehru Natl Inst Technol Allahabad,3,2
Amala Canc Res Ctr,1,0
Mohanlal Shukhadia Univ,5,69
Rashtrast Tukad Maharaj Nagpur Univ,2,26
DIT Univ,1,1
