name,publications,citations
Srirama Chandra Bhanja Med Coll & Hosp,1,57
Gujarat Forens Sci Univ,3,146
Indian Inst Technol Delhi,23,371
North Eastern Hill Univ,10,153
Indian Inst Sci,48,233
Leucine Rich Bio Pvt Ltd,1,123
Rajiv Gandhi Canc Inst & Res Ctr,5,127
SAHAYOG,1,1
COPASAH Sexual & Reprod Rights Hub,1,1
Max Inst Canc Care,2,4
Max Super Special Hosp,7,26
Canc Inst WIA,4,4
Tirupati Eye & Res Ctr,1,6
ICMR Natl JALMA Inst Leprosy & Other Mycobacteria,3,41
Maharaja Sayajirao Univ Baroda,3,11
LM Coll Pharm,1,9
Parul Univ,2,12
Erode Arts & Sci Coll,1,5
Sree Krishna Coll Guruvayur,1,5
Global Healthcare Consulting,7,14
Univ Petr & Energy Studies,15,68
SASTRA Deemed Univ,12,23
Indian Inst Technol Jodhpur,1,7
CSIR Indian Inst Chem Biol,6,25
Karpagam Acad Higher Educ,2,2
Inst Liver & Biliary Sci,10,61
Univ New South Wales,4,7
Homi Bhabha Natl Inst,20,66
Shree Guru Gobind Singh Tricentenary Univ,2,0
Indrayani Canc Hosp,1,3
Uttaranchal Univ,3,7
Lovely Profess Univ,26,78
Mahatma Gandhi Coll Pharmaceut Sci,3,16
Shoolini Univ Biotechnol & Management Sci,7,17
Maharshi Dayanand Univ,12,58
Suresh Gyan Vihar Univ,11,32
AIIMS Bhubaneswar,1,10
PGIMER,28,217
MMU Deemed Be Univ,1,10
Capital Hosp,2,10
AIIMS New Delhi,1,10
George Inst Global Hlth,5,32
Prasanna Sch Publ Hlth,2,31
Shri Gopichand Coll Pharm,2,4
Postgrad Inst Med Educ & Res,65,569
Vidyasagar Univ,14,191
Translat Hlth Sci & Technol Inst THSTI,5,1
Cent Univ Haryana,5,3
Dr NTR Univ Hlth Sci,2,1
Rainbow Childrens Hosp,3,9
Inst Seismol Res,2,1
Natl Geophys Res Inst,1,1
Dibrugarh Univ,17,75
Dr DY Patil Vidyapeeth,5,10
Indian Inst Integrat Med,2,0
Inst Genom & Integrat Biol,2,0
Delhi Technol Univ,12,29
Management Dev Inst,2,0
Bharati Vidyapeeth Deemed Univ,5,4
Univ Calcutta,33,138
Vasant Kanya Mahavidyalaya,1,0
Indian Inst Technol Roorkee,15,98
Adhiparashakthi Dent Coll & Hosp,1,0
SRM Inst Sci & Technol,19,33
SGT Univ,3,1
Ragas Dent Coll & Hosp,1,0
KIIT Univ,9,103
PES Univ,4,24
Jagadguru Sri Shivarathreeshwara Acad Higher Educ,2,0
Natl Inst Immunol,10,26
Birla Inst Technol & Sci,7,6
SmartBio Labs,1,0
HLM Grp Inst,1,0
Sastra Deemed Univ,1,0
MAX Superspecialty Hosp,1,0
NH Mazumdar Shaw Med Ctr,1,0
Christian Med Coll & Hosp,30,435
Dr Ram Manohar Lohia Hosp & Atal Bihari Vajpayee,1,0
Madras ENT Res Fdn MERF,1,0
MERF Inst Speech & Hearing P Ltd,1,0
Neuberg Labs,1,0
DY Patil Dent Sch,1,0
Indira Gandhi Inst Dent Sci,1,0
Oxford Dent Coll,1,0
Sri Venkateshwaraa Dent Coll,1,0
VSPM Dent Coll,1,0
Sanjay Gandhi Post Grad Inst Med Sci SGPGIMS,3,2
Super Special Paediat Hosp & Postgrad Teaching In,1,0
Sir GangaRam Hosp,1,0
Swami Rama Himalayan Univ,3,17
HIHT Univ,1,1
Maulana Azad Med Coll,16,162
WHO,7,158
Natl Capital Reg NCR Biotech Sci Cluster,1,0
Indiragandhi Inst Child Hlth,1,5
Sri Sathya Sai Cent Trust,1,1
Kannur Univ,4,12
Indian Inst Technol Gandhinagar,14,123
Natl Inst Technol Tiruchirappalli,1,1
Exper Technol,1,1
Crowcon,1,1
Swathanthra Malayalam Comp,1,1
APJ Abdul Kalam Tech Univ,1,1
Indian Inst Technol Mandi,10,65
Sidho Kanho Birsha Univ,4,27
Indian Inst Technol IIT,7,40
PVNRTVU,3,8
Maharshi Dayanand Univ MDU,1,6
Amity Int Sch,1,3
Intas Pharmaceut,1,12
