name,type
Max Inst Canc Care,Institute
Max Super Special Hosp,Hospital
Canc Inst WIA,Institute
Tirupati Eye & Res Ctr,Research Center
ICMR Natl JALMA Inst Leprosy & Other Mycobacteria,Institute
Maharaja Sayajirao Univ Baroda,University
LM Coll Pharm,College
Parul Univ,University
Erode Arts & Sci Coll,College
Sree Krishna Coll Guruvayur,College
Global Healthcare Consulting,None
Univ Petr & Energy Studies,University
SASTRA Deemed Univ,University
Indian Inst Technol Jodhpur,Institute
CSIR Indian Inst Chem Biol,Institute
Karpagam Acad Higher Educ,Academy
Inst Liver & Biliary Sci,Institute
Univ New South Wales,University
Homi Bhabha Natl Inst,Institute
Shree Guru Gobind Singh Tricentenary Univ,University
Indrayani Canc Hosp,Hospital
Uttaranchal Univ,University
Lovely Profess Univ,University
Mahatma Gandhi Coll Pharmaceut Sci,College
Shoolini Univ Biotechnol & Management Sci,University
Maharshi Dayanand Univ,University
Suresh Gyan Vihar Univ,University
AIIMS Bhubaneswar,None
PGIMER,None
MMU Deemed Be Univ,University
Capital Hosp,Hospital
AIIMS New Delhi,None
George Inst Global Hlth,Institute
Prasanna Sch Publ Hlth,School
Shri Gopichand Coll Pharm,College
Postgrad Inst Med Educ & Res,Institute
Vidyasagar Univ,University
Translat Hlth Sci & Technol Inst THSTI,Institute
Cent Univ Haryana,University
Dr NTR Univ Hlth Sci,University
Rainbow Childrens Hosp,Hospital
Inst Seismol Res,Institute
Natl Geophys Res Inst,Institute
Dibrugarh Univ,University
Dr DY Patil Vidyapeeth,None
Indian Inst Integrat Med,Institute
Inst Genom & Integrat Biol,Institute
Delhi Technol Univ,University
Management Dev Inst,Institute
Bharati Vidyapeeth Deemed Univ,University
Univ Calcutta,University
Vasant Kanya Mahavidyalaya,None
Indian Inst Technol Roorkee,Institute
Adhiparashakthi Dent Coll & Hosp,College
SRM Inst Sci & Technol,Institute
SGT Univ,University
Ragas Dent Coll & Hosp,College
KIIT Univ,University
PES Univ,University
Jagadguru Sri Shivarathreeshwara Acad Higher Educ,Academy
Natl Inst Immunol,Institute
Birla Inst Technol & Sci,Institute
SmartBio Labs,None
HLM Grp Inst,Institute
Sastra Deemed Univ,University
