first_name,last_name,full_name,department,university,country,leader
Catarina,Eloy,"Catarina, Eloy",Inst Mol Pathol & Immunol,Univ Porto,Portugal,"Giancarlo, Troncone"
Fernando C,Schmitt,"Fernando C, Schmitt",Inst Mol Pathol & Immunol,Univ Porto,Portugal,"Giancarlo, Troncone"
Arrigo,Capitanio,"Arrigo, Capitanio",Pathol,Linkoping Univ Hosp,Sweden,"Giancarlo, Troncone"
Chiara,Casadio,"Chiara, Casadio",Div Pathol & Lab Med,European Inst Oncol,Italy,"Giancarlo, Troncone"
Eugeniu,Cazacu,"Eugeniu, Cazacu",Morphopathol,Nicolae Testemitanu State Univ Med & Pharm,Moldova,"Giancarlo, Troncone"
Beatrix,Cochand Priollet,"Beatrix, Cochand Priollet",Cochin Hosp,Univ Med Ctr Paris,France,"Giancarlo, Troncone"
Alessandro,D'Amuri,"Alessandro, D'Amuri",A Perrino Hosp,ASL Brindisi,Italy,"Giancarlo, Troncone"
Guido,Fadda,"Guido, Fadda",Sect Pathol Anat,AOU Polyclin G Martino,Italy,"Giancarlo, Troncone"
Antonio,Ieni,"Antonio, Ieni",Sect Pathol Anat,AOU Polyclin G Martino,Italy,"Giancarlo, Troncone"
Giovanni,Tuccari,"Giovanni, Tuccari",Sect Pathol Anat,AOU Polyclin G Martino,Italy,"Giancarlo, Troncone"
Gabriella,Fontanini,"Gabriella, Fontanini",Surg,Univ Pisa,Italy,"Giancarlo, Troncone"
Franco,Fulciniti,"Franco, Fulciniti",Cantonal Inst Pathol,Locarno Cantonal Hosp,Switzerland,"Giancarlo, Troncone"
Paul,Hofman,"Paul, Hofman",Lab Clin & Expt Pathol,Pasteur Hosp,France,"Giancarlo, Troncone"
Xiaoyin Sara,Jiang,"Xiaoyin Sara, Jiang",Med Ctr,Duke Univ,USA,"Giancarlo, Troncone"
Betsy,Robinson,"Betsy, Robinson",Med Ctr,Duke Univ,USA,"Giancarlo, Troncone"
Kennichi,Kakudo,"Kennichi, Kakudo",Pathol,Izumi City Gen Hosp,Japan,"Giancarlo, Troncone"
Izidor,Kern,"Izidor, Kern",Golnik,Univ Clin Golnik,Slovenia,"Giancarlo, Troncone"
Ivana,Kholova,"Ivana, Kholova",Fac Med & Hlth Technol,Tampere Univ,Finland,"Giancarlo, Troncone"
Chinhua,Liu,"Chinhua, Liu",Pathol,Univ Texas MD Anderson Canc Ctr,USA,"Giancarlo, Troncone"
Sinchita,Roy Chowdhuri,"Sinchita, Roy Chowdhuri",Pathol,Univ Texas MD Anderson Canc Ctr,USA,"Giancarlo, Troncone"
Anandi,Lobo,"Anandi, Lobo",Pathol,Kapoor Path Labs,India,"Giancarlo, Troncone"
Maria D,Lozano,"Maria D, Lozano",Pathol,Univ Navarra Clin,Spain,"Giancarlo, Troncone"
Pamela,Michelow,"Pamela, Michelow",Anat Pathol,Univ Witwatersrand,Africa,"Giancarlo, Troncone"
Jamal,Musayev,"Jamal, Musayev",Baku,Baku Pathol Ctr,Azerbaijan,"Giancarlo, Troncone"
Gonca,ozgun,"Gonca, ozgun",Pathol,Baskent Univ,Turkey,"Giancarlo, Troncone"
Meltem,Oznur,"Meltem, Oznur",Pathol,Tekirdag Namik Kemal Univ,Turkey,"Giancarlo, Troncone"
Francisca Maria,Peiro Marques,"Francisca Maria, Peiro Marques",Pathol,Gen Univ Hosp Alicante,Spain,"Giancarlo, Troncone"
Francisco,Javier Segui Ivanez,"Francisco, Javier Segui Ivanez",Pathol,Gen Univ Hosp Alicante,Spain,"Giancarlo, Troncone"
David,Poller,"David, Poller",Pathol & Cytol,Queen Alexandra Hosp,England,"Giancarlo, Troncone"
Michal,Pyzlak,"Michal, Pyzlak",Warsaw,Ctr Diagnost Pathol,Poland,"Giancarlo, Troncone"
Esther Diana,Rossi,"Esther Diana, Rossi",Div Anat Pathol & Histol,Univ Polyclin Fdn Gemini,Italy,"Giancarlo, Troncone"
Mauro,Saieg,"Mauro, Saieg",Pathol,Santa Casa Med Sch,Brazil,"Giancarlo, Troncone"
Tajana,Stoos Veic,"Tajana, Stoos Veic",Pathol & Cytol,Univ Hosp Dubrava,Croatia,"Giancarlo, Troncone"
Brenda J,Sweeney,"Brenda J, Sweeney",Massachusetts Gen Hosp,Harvard Med Sch,USA,"Giancarlo, Troncone"
William C,Faquin,"William C, Faquin",Massachusetts Gen Hosp,Harvard Med Sch,USA,"Giancarlo, Troncone"
Martha Bishop,Pitman,"Martha Bishop, Pitman",Massachusetts Gen Hosp,Harvard Med Sch,USA,"Giancarlo, Troncone"
Marie Louise,van Velthuysen,"Marie Louise, van Velthuysen",Pathol,Erasmus MC,Netherlands,"Giancarlo, Troncone"
Paul A,VanderLaan,"Paul A, VanderLaan",Beth Israel Deaconess Med Ctr,Harvard Med Sch,USA,"Giancarlo, Troncone"
Philippe,Vielh,"Philippe, Vielh",Medipath,Amer Hosp Paris,France,"Giancarlo, Troncone"
Patrizia,Viola,"Patrizia, Viola",North West London Pathol,Imperial Coll Healthcare,England,"Giancarlo, Troncone"
Rinus,Voorham,"Rinus, Voorham",Quirinus JMVoorham,PALGA Fdn,Netherlands,"Giancarlo, Troncone"
Birgit,Weynand,"Birgit, Weynand",Pathol,Univ Hosp Leuven,Belgium,"Giancarlo, Troncone"
Pio,Zeppa,"Pio, Zeppa",Med & Surg,Univ Salerno,Italy,"Giancarlo, Troncone"
Nitya,Rao,"Nitya, Rao",Sch Int Dev,Univ East Anglia,England,"Nitya, Rao"
Nivedita,Narain,"Nivedita, Narain",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao"
Shuvajit,Chakraborty,"Shuvajit, Chakraborty",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao"
Arundhita,Bhanjdeo,"Arundhita, Bhanjdeo",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao"
Ayesha,Pattnaik,"Ayesha, Pattnaik",New Delhi,Profess Assistance Dev Act PRADAN,India,"Nitya, Rao"
Nivedita,Narain,"Nivedita, Narain",Graham Ctr Agr Innovat,Alliance Charles Sturt Univ,Australia,"Nitya, Rao"
Arundhita,Bhanjdeo,"Arundhita, Bhanjdeo",Graham Ctr Agr Innovat,Alliance Charles Sturt Univ,Australia,"Nitya, Rao"
Nivedita,Narain,"Nivedita, Narain",Bathurst,NSW Dept Primary Ind,Australia,"Nitya, Rao"
Arundhita,Bhanjdeo,"Arundhita, Bhanjdeo",Bathurst,NSW Dept Primary Ind,Australia,"Nitya, Rao"
Ruchi Jakhmola,Mani,"Ruchi Jakhmola, Mani",Ctr Med Biotechnol,Amity Univ Uttar Pradesh,India,"Deepshikha Pande, Katare"
Nikita,Sehgal,"Nikita, Sehgal",Ctr Med Biotechnol,Amity Univ Uttar Pradesh,India,"Deepshikha Pande, Katare"
Nitu,Dogra,"Nitu, Dogra",Ctr Med Biotechnol,Amity Univ Uttar Pradesh,India,"Deepshikha Pande, Katare"
Deepshikha Pande,Katare,"Deepshikha Pande, Katare",Ctr Med Biotechnol,Amity Univ Uttar Pradesh,India,"Deepshikha Pande, Katare"
Shikha,Saxena,"Shikha, Saxena",Amity Inst Pharm,Amity Univ Uttar Pradesh,India,"Deepshikha Pande, Katare"
Ashutosh,Kumar,"Ashutosh, Kumar",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar"
Pranav,Prasoon,"Pranav, Prasoon",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar"
Prakash S,Sekhawat,"Prakash S, Sekhawat",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar"
Vikas,Pareek,"Vikas, Pareek",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar"
Muneeb A,Faiq,"Muneeb A, Faiq",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar"
Chiman,Kumari,"Chiman, Kumari",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar"
Ravi K,Narayan,"Ravi K, Narayan",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar"
Maheswari,Kulandhasamy,"Maheswari, Kulandhasamy",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar"
Kamla,Kant,"Kamla, Kant",New Delhi,Etiol Elus Disorders Res Network EEDRN,India,"Ashutosh, Kumar"
Ashutosh,Kumar,"Ashutosh, Kumar",Anat,All India Inst Med Sci AIIMS,India,"Ashutosh, Kumar"
Ravi K,Narayan,"Ravi K, Narayan",Anat,All India Inst Med Sci AIIMS,India,"Ashutosh, Kumar"
Pranav,Prasoon,"Pranav, Prasoon",Sch Med,Univ Pittsburgh,USA,"Ashutosh, Kumar"
Prakash S,Sekhawat,"Prakash S, Sekhawat",Hematol,Nil RatanSircar Med Coll & Hosp NRSMCH,India,"Ashutosh, Kumar"
Vikas,Pareek,"Vikas, Pareek",Manesar,Natl Brain Res Ctr,India,"Ashutosh, Kumar"
Muneeb A,Faiq,"Muneeb A, Faiq",Langone Hlth Ctr,NYU,USA,"Ashutosh, Kumar"
Chiman,Kumari,"Chiman, Kumari",Anat,Postgrad Inst Med Educ & Res PGIMER,India,"Ashutosh, Kumar"
Maheswari,Kulandhasamy,"Maheswari, Kulandhasamy",Biochem,Maulana Azad Med Coll MAMC,India,"Ashutosh, Kumar"
Kamla,Kant,"Kamla, Kant",Microbiol,All India Inst Med Sci AIIMS,India,"Ashutosh, Kumar"
Shalini,Saxena,"Shalini, Saxena",Mahalanobis Natl Crop Forecast Ctr,DAC&FW,India,"Shibendu S, Ray"
Amit,Rabha,"Amit, Rabha",Mahalanobis Natl Crop Forecast Ctr,DAC&FW,India,"Shibendu S, Ray"
Preeti,Tahlani,"Preeti, Tahlani",Mahalanobis Natl Crop Forecast Ctr,DAC&FW,India,"Shibendu S, Ray"
Shibendu S,Ray,"Shibendu S, Ray",Mahalanobis Natl Crop Forecast Ctr,DAC&FW,India,"Shibendu S, Ray"
Mukesh,Kumar,"Mukesh, Kumar",Elect & Commun,Natl Inst Technol NIT,India,"Mukesh, Kumar"
Deepak,Bhadu,"Deepak, Bhadu",Sch VLSI Design & Embedded Syst,Natl Inst Technol NIT,India,"Mukesh, Kumar"
Kiran Malathesha,Safare,"Kiran Malathesha, Safare",Chem,GM Inst Technol,India,"Pundikala, Veeresha"
Virupaxappa Shekarappa,Betageri,"Virupaxappa Shekarappa, Betageri",Chem,GM Inst Technol,India,"Pundikala, Veeresha"
Doddabhadrappla Gowda,Prakasha,"Doddabhadrappla Gowda, Prakasha",Math,Davangere Univ,India,"Pundikala, Veeresha"
Pundikala,Veeresha,"Pundikala, Veeresha",Math,Karnatak Univ,India,"Pundikala, Veeresha"
Sunil,Kumar,"Sunil, Kumar",Math,Natl Inst Technol,India,"Pundikala, Veeresha"
Niraj N,Mahajan,"Niraj N, Mahajan",Obstet & Gynecol,TN Med Coll & BYL Nair Ch Hosp,India,"Niraj N, Mahajan"
Shweta N,Kesarwani,"Shweta N, Kesarwani",Obstet & Gynecol,TN Med Coll & BYL Nair Ch Hosp,India,"Niraj N, Mahajan"
Snehal S,Shinde,"Snehal S, Shinde",Obstet & Gynecol,TN Med Coll & BYL Nair Ch Hosp,India,"Niraj N, Mahajan"
Anurupa,Nayak,"Anurupa, Nayak",Obstet & Gynecol,TN Med Coll & BYL Nair Ch Hosp,India,"Niraj N, Mahajan"
Niraj N,Mahajan,"Niraj N, Mahajan",Mumbai,BYL Nair Charitable Hosp,India,"Niraj N, Mahajan"
Shweta N,Kesarwani,"Shweta N, Kesarwani",Mumbai,BYL Nair Charitable Hosp,India,"Niraj N, Mahajan"
Snehal S,Shinde,"Snehal S, Shinde",Mumbai,BYL Nair Charitable Hosp,India,"Niraj N, Mahajan"
Anurupa,Nayak,"Anurupa, Nayak",Mumbai,BYL Nair Charitable Hosp,India,"Niraj N, Mahajan"
Deepak N,Modi,"Deepak N, Modi",Mumbai,ICMR Natl Inst Res Reprod Hlth,India,"Niraj N, Mahajan"
Smita D,Mahale,"Smita D, Mahale",Mumbai,ICMR Natl Inst Res Reprod Hlth,India,"Niraj N, Mahajan"
Rahul K,Gajbhiye,"Rahul K, Gajbhiye",Mumbai,ICMR Natl Inst Res Reprod Hlth,India,"Niraj N, Mahajan"
Hem Chandra,Pandey,"Hem Chandra, Pandey",Transfus Med,All India Inst Med Sci,India,"Hem Chandra, Pandey"
Poonam,Coshic,"Poonam, Coshic",Transfus Med,All India Inst Med Sci,India,"Hem Chandra, Pandey"
C S,Chippy,"C S, Chippy",Transfus Med,All India Inst Med Sci,India,"Hem Chandra, Pandey"
Priyadarsini Jayachandran,Arcot,"Priyadarsini Jayachandran, Arcot",Transfus Med,All India Inst Med Sci,India,"Hem Chandra, Pandey"
Karan,Kumar,"Karan, Kumar",Transfus Med,All India Inst Med Sci,India,"Hem Chandra, Pandey"
Rajeeb K,Mohanty,"Rajeeb K, Mohanty",Bhubaneswar 751023,ICAR Indian Inst Water Management,India,"Amod K, Thakur"
Krishna G,Mandal,"Krishna G, Mandal",Bhubaneswar 751023,ICAR Indian Inst Water Management,India,"Amod K, Thakur"
Amod K,Thakur,"Amod K, Thakur",Bhubaneswar 751023,ICAR Indian Inst Water Management,India,"Amod K, Thakur"
Prassan,Choudhary,"Prassan, Choudhary",Mau 275103,ICAR Natl Bur Agr Important Microorgan,India,"Hillol, Chakdar"
Hillol,Chakdar,"Hillol, Chakdar",Mau 275103,ICAR Natl Bur Agr Important Microorgan,India,"Hillol, Chakdar"
Dikchha,Singh,"Dikchha, Singh",Mau 275103,ICAR Natl Bur Agr Important Microorgan,India,"Hillol, Chakdar"
Anil Kumar,Saxena,"Anil Kumar, Saxena",Mau 275103,ICAR Natl Bur Agr Important Microorgan,India,"Hillol, Chakdar"
Chandrabose,Selvaraj,"Chandrabose, Selvaraj",Bioinformat,Alagappa Univ,India,"Hillol, Chakdar"
Sanjeev Kumar,Singh,"Sanjeev Kumar, Singh",Bioinformat,Alagappa Univ,India,"Hillol, Chakdar"
Sunil,Kumar,"Sunil, Kumar",Ctr Agr Bioinformat,ICAR Indian Agr Stat Res Inst,India,"Hillol, Chakdar"
Kranti Suresh,Vora,"Kranti Suresh, Vora",Gandhinagar Chiloda Highway,Indian Inst Publ Hlth Gandhinagar,India,"Senthilkumar, Natesan"
Aarthi,Sundararajan,"Aarthi, Sundararajan",Gandhinagar Chiloda Highway,Indian Inst Publ Hlth Gandhinagar,India,"Senthilkumar, Natesan"
Senthilkumar,Natesan,"Senthilkumar, Natesan",Gandhinagar Chiloda Highway,Indian Inst Publ Hlth Gandhinagar,India,"Senthilkumar, Natesan"
Kranti Suresh,Vora,"Kranti Suresh, Vora",Bruce,Univ Canberra,Australia,"Senthilkumar, Natesan"
Shahin,Saiyed,"Shahin, Saiyed",Gandhinagar,Biomac Life Sci Pvt Ltd,India,"Senthilkumar, Natesan"
Senthilkumar,Natesan,"Senthilkumar, Natesan",Gandhinagar,Biomac Life Sci Pvt Ltd,India,"Senthilkumar, Natesan"
Kuldeep,Dhama,"Kuldeep, Dhama",Div Pathol,ICAR Indian Vet Res Inst,India,"Senthilkumar, Natesan"
Ali A,Rabaan,"Ali A, Rabaan",Mol Diagnost Lab,Johns Hopkins Aramco Healthcare,Arabia,"Ali A, Rabaan"
Shamsah H,Al Ahmed,"Shamsah H, Al Ahmed",Specialty Paediat Med,Qatif Cent Hosp,Arabia,"Ali A, Rabaan"
Ranjit,Sah,"Ranjit, Sah",Inst Med,Tribhuvan Univ Teaching Hosp,Nepal,"Ali A, Rabaan"
Jaffar A,Al Tawfiq,"Jaffar A, Al Tawfiq",Specialty Internal Med,Johns Hopkins Aramco Healthcare,Arabia,"Ali A, Rabaan"
Jaffar A,Al Tawfiq,"Jaffar A, Al Tawfiq",Med,Indiana Univ Sch Med,USA,"Ali A, Rabaan"
Jaffar A,Al Tawfiq,"Jaffar A, Al Tawfiq",Sch Med,Johns Hopkins Univ,USA,"Ali A, Rabaan"
Alfonso J,Rodriguez Morales,"Alfonso J, Rodriguez Morales",Sch Med,Johns Hopkins Univ,USA,"Ali A, Rabaan"
Ayman M,Al Qaaneh,"Ayman M, Al Qaaneh",Inst Res & Med Consultat IRMC,Imam Abdulrahman Bin Faisal Univ,Arabia,"Ali A, Rabaan"
Ayman M,Al Qaaneh,"Ayman M, Al Qaaneh",Clin Pharm Serv Div,Johns Hopkins Aramco Healthcare,Arabia,"Ali A, Rabaan"
Lamiaa H,Al Jamea,"Lamiaa H, Al Jamea",Clin Lab Sci,Prince Sultan Mil Coll Hlth Sci,Arabia,"Ali A, Rabaan"
Alexander,Woodman,"Alexander, Woodman",Clin Lab Sci,Prince Sultan Mil Coll Hlth Sci,Arabia,"Ali A, Rabaan"
Manaf,Al Qahtani,"Manaf, Al Qahtani",Med,Bahrain Def Force Hosp,Bahrain,"Ali A, Rabaan"
Manaf,Al Qahtani,"Manaf, Al Qahtani",Med,Bahrain Med Univ,Bahrain,"Ali A, Rabaan"
Shafiul,Haque,"Shafiul, Haque",Coll Nursing & Allied Hlth Sci,Jazan Univ,Arabia,"Ali A, Rabaan"
Harapan,Harapan,"Harapan, Harapan",Sch Med,Univ Syiah Kuala,Indonesia,"Ali A, Rabaan"
Harapan,Harapan,"Harapan, Harapan",Trop Dis Ctr,Univ Syiah Kuala,Indonesia,"Ali A, Rabaan"
Harapan,Harapan,"Harapan, Harapan",Sch Med,Univ Syiah Kuala,Indonesia,"Ali A, Rabaan"
D Katterine,Bonilla Aldana,"D Katterine, Bonilla Aldana",Grp Invest BIOECOS,Fdn Univ Autonoma Amer,Colombia,"Ali A, Rabaan"
D Katterine,Bonilla Aldana,"D Katterine, Bonilla Aldana",Fac Hlth Sci,Univ Tecnol Pereira,Colombia,"Ali A, Rabaan"
Pavan,Kumar,"Pavan, Kumar",Coll Hort & Forestry,Rani Lakshmi Bai Cent Agr Univ,India,"Ali A, Rabaan"
Kuldeep,Dhama,"Kuldeep, Dhama",Div Pathol,ICAR Indian Vet Res Inst,India,"Ali A, Rabaan"
Alfonso J,Rodriguez Morales,"Alfonso J, Rodriguez Morales",Fac Med,Fdn Univ Autonoma Amer,Colombia,"Ali A, Rabaan"
Merrill D,Benson,"Merrill D, Benson",Pathol & Lab Med,Indiana Univ Sch Med,USA,"Per, Westermark"
Joel N,Buxbaum,"Joel N, Buxbaum",Mol Med,Scripps Res Inst,USA,"Per, Westermark"
David S,Eisenberg,"David S, Eisenberg",Chem & Biochem,Univ Calif Los Angeles,USA,"Per, Westermark"
Giampaolo,Merlini,"Giampaolo, Merlini",Amyloid Res & Treatment Ctr,Fdn IRCCS Policlin San Matteo,Italy,"Per, Westermark"
Giampaolo,Merlini,"Giampaolo, Merlini",Pavia,Univ Pavia,Italy,"Per, Westermark"
Maria J M,Saraiva,"Maria J M, Saraiva",Mol Neurobiol,Univ Porto,Portugal,"Per, Westermark"
Yoshiki,Sekijima,"Yoshiki, Sekijima",Sch Med,Shinshu Univ,Japan,"Per, Westermark"
Jean D,Sipe,"Jean D, Sipe",Sch Med,Boston Univ,USA,"Per, Westermark"
Per,Westermark,"Per, Westermark",Immunol Genet & Pathol,Uppsala Univ,Sweden,"Per, Westermark"
Doraisamy,Balasubramaniam,"Doraisamy, Balasubramaniam",ECE,Vel Tech RangarajanDr Sagunthala R&D Inst Sci & T,India,"Doraisamy, Balasubramaniam"
Chandramohan,Kanmanipappa,"Chandramohan, Kanmanipappa",ECE,Vel Tech RangarajanDr Sagunthala R&D Inst Sci & T,India,"Doraisamy, Balasubramaniam"
Manavalan,Saravanan,"Manavalan, Saravanan",ECE,Vel Tech RangarajanDr Sagunthala R&D Inst Sci & T,India,"Doraisamy, Balasubramaniam"
Balraj,Shankarlal,"Balraj, Shankarlal",ECE,PerunthalaivarKamarajar Inst Engn & Technol,India,"Doraisamy, Balasubramaniam"
Amita,Jain,"Amita, Jain",New Delhi,Army Coll Med Sci,India,"Amita, Jain"
Vishal,Goyal,"Vishal, Goyal",New Delhi,Army Coll Med Sci,India,"Amita, Jain"
Chaitanya,Varma,"Chaitanya, Varma",New Delhi,Army Coll Med Sci,India,"Amita, Jain"
Amita,Jain,"Amita, Jain",New Delhi,Base Hosp Delhi Cantt,India,"Amita, Jain"
Vishal,Goyal,"Vishal, Goyal",New Delhi,Base Hosp Delhi Cantt,India,"Amita, Jain"
Chaitanya,Varma,"Chaitanya, Varma",New Delhi,Base Hosp Delhi Cantt,India,"Amita, Jain"
U P A S A N A,BHATTACHARYYA,"U P A S A N A, BHATTACHARYYA",Genet,Univ Delhi,India,
B K,THELMA,"B K, THELMA",Genet,Univ Delhi,India,
Bikash Ranjan,Parida,"Bikash Ranjan, Parida",Sch Nat Resource Management,Cent Univ Jharkhand,India,"Bikash Ranjan, Parida"
Somnath,Bar,"Somnath, Bar",Sch Nat Resource Management,Cent Univ Jharkhand,India,"Bikash Ranjan, Parida"
Arvind Chandra,Pandey,"Arvind Chandra, Pandey",Sch Nat Resource Management,Cent Univ Jharkhand,India,"Bikash Ranjan, Parida"
Nilendu,Singh,"Nilendu, Singh",Ctr Glaciol,Wadia Inst Himalayan Geol,India,"Bikash Ranjan, Parida"
Bakimchandra,Oinam,"Bakimchandra, Oinam",Civil Engn,Natl Inst Technol,India,"Bikash Ranjan, Parida"
Manoj,Kumar,"Manoj, Kumar",Sch Nat Resource Management,Cent Univ Jharkhand,India,"Bikash Ranjan, Parida"
