first_name,last_name,full_name,department,university,country,leader
Vikas,Phulia,"Vikas, Phulia",Krishi Vigyan Kendra,Guru Angad Dev Vet & Anim Sci Univ,India,"Ankur, Jamwal"
Papia,Chowdhury,"Papia, Chowdhury",Phys & Mat Sci & Engn,Jaypee Inst Informat Technol,India,"Papia, Chowdhury"
Pustak,Pathak,"Pustak, Pathak",Sect 28,Vishwa Bharati Publ Sch,India,"Papia, Chowdhury"
Alyssa N,Sbarra,"Alyssa N, Sbarra",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Sam,Rolfe,"Sam, Rolfe",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Jason Q,Nguyen,"Jason Q, Nguyen",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Lucas,Earl,"Lucas, Earl",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Natalie C,Galles,"Natalie C, Galles",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Ashley,Marks,"Ashley, Marks",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Aubrey J,Cook,"Aubrey J, Cook",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Natalie Maria,Cormier,"Natalie Maria, Cormier",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Brandon,Cunningham,"Brandon, Cunningham",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Rakhi,Dandona,"Rakhi, Dandona",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Lalit,Dandona,"Lalit, Dandona",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Farah,Daoud,"Farah, Daoud",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Nicole Davis,Weaver,"Nicole Davis, Weaver",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Aniruddha,Deshpande,"Aniruddha, Deshpande",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Samath Dhamminda,Dharmaratne,"Samath Dhamminda, Dharmaratne",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Nancy,Fullman,"Nancy, Fullman",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Nathaniel J,Henry,"Nathaniel J, Henry",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Gillian I,Hollerich,"Gillian I, Hollerich",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Gloria,Ikilezi,"Gloria, Ikilezi",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Kimberly B,Johnson,"Kimberly B, Johnson",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Damaris K,Kinyoki,"Damaris K, Kinyoki",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Heidi Jane,Larson,"Heidi Jane, Larson",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Kate E,LeGrand,"Kate E, LeGrand",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Benjamin K,Mayala,"Benjamin K, Mayala",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Molly K,Miller Petrie,"Molly K, Miller Petrie",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Ali H,Mokdad,"Ali H, Mokdad",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Sandra B,Munro,"Sandra B, Munro",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Christopher J L,Murray,"Christopher J L, Murray",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Mohsen,Naghavi,"Mohsen, Naghavi",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Aaron E,Osgood Zimmerman,"Aaron E, Osgood Zimmerman",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
David M,Pigott,"David M, Pigott",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Lauren E,Schaeffer,"Lauren E, Schaeffer",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Emma Elizabeth,Spurlock,"Emma Elizabeth, Spurlock",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Kirsten E,Wiens,"Kirsten E, Wiens",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Simon I,Hay,"Simon I, Hay",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Stephen S,Lim,"Stephen S, Lim",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Jonathan F,Mosser,"Jonathan F, Mosser",Inst Hlth Metr & Evaluat,Univ Washington,USA,"Simon I, Hay"
Kaja M,Abbas,"Kaja M, Abbas",Infect Dis Epidemiol,London Sch Hyg & Trop Med,England,"Simon I, Hay"
Oliver J,Brady,"Oliver J, Brady",Infect Dis Epidemiol,London Sch Hyg & Trop Med,England,"Simon I, Hay"
Heidi Jane,Larson,"Heidi Jane, Larson",Infect Dis Epidemiol,London Sch Hyg & Trop Med,England,"Simon I, Hay"
Mohsen,Abbasi Kangevari,"Mohsen, Abbasi Kangevari",Social Determinants Hlth Res Ctr,Shahid Beheshti Univ Med Sci,Iran,"Simon I, Hay"
Hedayat,Abbastabar,"Hedayat, Abbastabar",Adv Diagnost & Intervent Radiol Res Ctr,Univ Tehran Med Sci,Iran,"Simon I, Hay"
Foad,Abd Allah,"Foad, Abd Allah",Neurol,Cairo Univ,Egypt,"Simon I, Hay"
Ahmed,Abdelalim,"Ahmed, Abdelalim",Neurol,Cairo Univ,Egypt,"Simon I, Hay"
Shaimaa I,El Jaafary,"Shaimaa I, El Jaafary",Neurol,Cairo Univ,Egypt,"Simon I, Hay"
Adrian,Pana,"Adrian, Pana",Neurol,Cairo Univ,Egypt,"Simon I, Hay"
Mohammad,Abdollahi,"Mohammad, Abdollahi",Inst Pharmaceut Sci TIPS,Univ Tehran Med Sci,Iran,"Simon I, Hay"
Mohammad,Abdollahi,"Mohammad, Abdollahi",Sch Pharm,Univ Tehran Med Sci,Iran,"Simon I, Hay"
Kedir Hussein,Abegaz,"Kedir Hussein, Abegaz",Biostat,Near East Univ,Cyprus,"Simon I, Hay"
Kedir Hussein,Abegaz,"Kedir Hussein, Abegaz",Biostat & Hlth Informat,Madda Walabu Univ,Ethiopia,"Simon I, Hay"
Hailemariam Abiy Alemu,Abiy,"Hailemariam Abiy Alemu, Abiy",Publ Hlth,Debre Markos Univ,Ethiopia,"Simon I, Hay"
Tewodros Eshete,Wonde,"Tewodros Eshete, Wonde",Publ Hlth,Debre Markos Univ,Ethiopia,"Simon I, Hay"
Hailemariam Abiy Alemu,Abiy,"Hailemariam Abiy Alemu, Abiy",Sch Publ Hlth,Bahir Dar Univ,Ethiopia,"Simon I, Hay"
Hassan,Abolhassani,"Hassan, Abolhassani",Lab Med,Karolinska Univ Hosp,Sweden,"Simon I, Hay"
Hassan,Abolhassani,"Hassan, Abolhassani",Res Ctr Immunodeficiencies,Univ Tehran Med Sci,Iran,"Simon I, Hay"
Nima,Rezaei,"Nima, Rezaei",Res Ctr Immunodeficiencies,Univ Tehran Med Sci,Iran,"Simon I, Hay"
Lucas Guimaraes,Abreu,"Lucas Guimaraes, Abreu",Pediat Dent,Univ Fed Minas Gerais,Brazil,"Simon I, Hay"
Michael R M,Abrigo,"Michael R M, Abrigo",Quezon City,Philippine Inst Dev Studies,Philippines,"Simon I, Hay"
Abdelrahman I,Abushouk,"Abdelrahman I, Abushouk",Cardiovasc Med,Cleveland Clin,USA,"Simon I, Hay"
Abdelrahman I,Abushouk,"Abdelrahman I, Abushouk",Med,Ain Shams Univ,Egypt,"Simon I, Hay"
Manfred Mario Kokou,Accrombessi,"Manfred Mario Kokou, Accrombessi",Dis Control,London Sch Hyg & Trop Med,England,"Simon I, Hay"
Mohamed M,Gad,"Mohamed M, Gad",Dis Control,London Sch Hyg & Trop Med,England,"Simon I, Hay"
Manfred Mario Kokou,Accrombessi,"Manfred Mario Kokou, Accrombessi",Clin Res & Operat,Fdn Sci Res FORS,Benin,"Simon I, Hay"
Maryam,Adabi,"Maryam, Adabi",Hamadan,Hamadan Univ Med Sci,Iran,"Simon I, Hay"
Oladimeji M,Adebayo,"Oladimeji M, Adebayo",Coll Med,Univ Coll Hosp,Nigeria,"Simon I, Hay"
Victor,Adekanmbi,"Victor, Adekanmbi",Populat Hlth Sci,Kings Coll London,England,"Simon I, Hay"
Olatunji O,Adetokunboh,"Olatunji O, Adetokunboh",Ctr Excellence Epidemiol Modelling & Anal,Univ Stellenbosch,Africa,"Simon I, Hay"
Olatunji O,Adetokunboh,"Olatunji O, Adetokunboh",Global Hlth,Univ Stellenbosch,Africa,"Simon I, Hay"
Chinwe Juliana,Iwu,"Chinwe Juliana, Iwu",Global Hlth,Univ Stellenbosch,Africa,"Simon I, Hay"
Davoud,Adham,"Davoud, Adham",Sch Hlth,Ardabil Univ Med Sci,Iran,"Simon I, Hay"
Mohsen,Afarideh,"Mohsen, Afarideh",Dermatol,Mayo Clin,USA,"Simon I, Hay"
Mohsen,Afarideh,"Mohsen, Afarideh",Endocrinol & Metab Res Ctr,Univ Tehran Med Sci,Iran,"Simon I, Hay"
Alireza,Esteghamati,"Alireza, Esteghamati",Endocrinol & Metab Res Ctr,Univ Tehran Med Sci,Iran,"Simon I, Hay"
Mohammad,Aghaali,"Mohammad, Aghaali",Epidemiol & Biostat,Qom Univ Med Sci,Iran,"Simon I, Hay"
Abolfazl,Mohammadbeigi,"Abolfazl, Mohammadbeigi",Epidemiol & Biostat,Qom Univ Med Sci,Iran,"Simon I, Hay"
Tauseef,Ahmad,"Tauseef, Ahmad",Epidemiol & Hlth Stat,Southeast Univ,China,"Simon I, Hay"
Raman,Ahmadi,"Raman, Ahmadi",Drug Appl Res Ctr,Tabriz Univ Med Sci,Iran,"Simon I, Hay"
Hossein Samadi,Kafil,"Hossein Samadi, Kafil",Drug Appl Res Ctr,Tabriz Univ Med Sci,Iran,"Simon I, Hay"
Raman,Ahmadi,"Raman, Ahmadi",Food Sci & Technol,Univ Tabriz,Iran,"Simon I, Hay"
Keivan,Ahmadi,"Keivan, Ahmadi",Lincoln Med Sch,Univ Nottingham & Lincoln,England,"Simon I, Hay"
Muktar Beshir,Ahmed,"Muktar Beshir, Ahmed",Epidemiol,Jimma Univ,Ethiopia,"Simon I, Hay"
Tsegaye Tewelde,Gebrehiwot,"Tsegaye Tewelde, Gebrehiwot",Epidemiol,Jimma Univ,Ethiopia,"Simon I, Hay"
Muhammed Ahmed,Rameto,"Muhammed Ahmed, Rameto",Epidemiol,Jimma Univ,Ethiopia,"Simon I, Hay"
Muktar Beshir,Ahmed,"Muktar Beshir, Ahmed",Australian Ctr Precis Hlth,Univ South Australia,Australia,"Simon I, Hay"
Fahad Mashhour,Alanezi,"Fahad Mashhour, Alanezi",Dammam,Imam Abdulrahman Bin Faisal Univ,Arabia,"Simon I, Hay"
Turki M,Alanzi,"Turki M, Alanzi",Hlth Informat Management & Technol,Imam Abdulrahman Bin Faisal Univ,Arabia,"Simon I, Hay"
Melese Abate,Reta,"Melese Abate, Reta",Hlth Informat Management & Technol,Imam Abdulrahman Bin Faisal Univ,Arabia,"Simon I, Hay"
Jacqueline Elizabeth,Alcalde Rabanal,"Jacqueline Elizabeth, Alcalde Rabanal",Ctr Hlth Syst Res,Natl Inst Publ Hlth,Mexico,"Simon I, Hay"
Maria,Rios Blancas,"Maria, Rios Blancas",Ctr Hlth Syst Res,Natl Inst Publ Hlth,Mexico,"Simon I, Hay"
Birhan Tamene,Alemnew,"Birhan Tamene, Alemnew",Med Lab Sci,Woldia Univ,Ethiopia,"Simon I, Hay"
Beriwan Abdulqadir,Ali,"Beriwan Abdulqadir, Ali",Erbil Tech Hlth Coll,Erbil Polytechn Univ,Iraq,"Simon I, Hay"
Beriwan Abdulqadir,Ali,"Beriwan Abdulqadir, Ali",Sch Pharm,Tishk Int Univ,Iraq,"Simon I, Hay"
Muhammad,Ali,"Muhammad, Ali",Biotechnol,Quaid I Azam Univ,Pakistan,"Simon I, Hay"
Mehran,Alijanzadeh,"Mehran, Alijanzadeh",Social Determinants Hlth Res Ctr,Qazvin Univ Med Sci,Iran,"Simon I, Hay"
Cyrus,Alinia,"Cyrus, Alinia",Hlth Care Management & Econ,Urmia Univ Med Sci,Iran,"Simon I, Hay"
Hasan,Yusefzadeh,"Hasan, Yusefzadeh",Hlth Care Management & Econ,Urmia Univ Med Sci,Iran,"Simon I, Hay"
Reza,Alipoor,"Reza, Alipoor",Student Res Comm,Hormozgan Univ Med Sci,Iran,"Simon I, Hay"
Vahid,Alipour,"Vahid, Alipour",Hlth Management & Econ Res Ctr,Iran Univ Med Sci,Iran,"Simon I, Hay"
Jalal,Arabloo,"Jalal, Arabloo",Hlth Management & Econ Res Ctr,Iran Univ Med Sci,Iran,"Simon I, Hay"
Samad,Azari,"Samad, Azari",Hlth Management & Econ Res Ctr,Iran Univ Med Sci,Iran,"Simon I, Hay"
Ahmad,Ghashghaee,"Ahmad, Ghashghaee",Hlth Management & Econ Res Ctr,Iran Univ Med Sci,Iran,"Simon I, Hay"
Aziz,Rezapour,"Aziz, Rezapour",Hlth Management & Econ Res Ctr,Iran Univ Med Sci,Iran,"Simon I, Hay"
Vahid,Alipour,"Vahid, Alipour",Hlth Econ,Iran Univ Med Sci,Iran,"Simon I, Hay"
Hesam,Alizade,"Hesam, Alizade",Infect & Trop Dis Res Ctr,Hormozgan Univ Med Sci,Iran,"Simon I, Hay"
Syed Mohamed,Aljunid,"Syed Mohamed, Aljunid",Hlth Policy & Management,Kuwait Univ,Kuwait,"Simon I, Hay"
Syed Mohamed,Aljunid,"Syed Mohamed, Aljunid",Int Ctr Casemix & Clin Coding,Natl Univ Malaysia,Malaysia,"Simon I, Hay"
Ali,Almasi,"Ali, Almasi",Environm Hlth Engn,Kermanshah Univ Med Sci,Iran,"Simon I, Hay"
Amir,Almasi Hashiani,"Amir, Almasi Hashiani",Epidemiol,Arak Univ Med Sci,Iran,"Simon I, Hay"
Rahmatollah,Moradzadeh,"Rahmatollah, Moradzadeh",Epidemiol,Arak Univ Med Sci,Iran,"Simon I, Hay"
Maryam,Zamanian,"Maryam, Zamanian",Epidemiol,Arak Univ Med Sci,Iran,"Simon I, Hay"
Hesham M,Al Mekhlafi,"Hesham M, Al Mekhlafi",Res Ctr,Jazan Univ,Arabia,"Simon I, Hay"
Hesham M,Al Mekhlafi,"Hesham M, Al Mekhlafi",Parasitol,Sanaa Univ,Yemen,"Simon I, Hay"
Khalid A,Altirkawi,"Khalid A, Altirkawi",Pediat Intens Care Unit,King Saud Univ,Arabia,"Simon I, Hay"
Bekalu,Amare,"Bekalu, Amare",Pharmacol,Mekelle Univ,Ethiopia,"Simon I, Hay"
Saeed,Amini,"Saeed, Amini",Hlth Serv Management,Arak Univ Med Sci,Iran,"Simon I, Hay"
Mostafa,Amini Rarani,"Mostafa, Amini Rarani",Hlth Management & Econ Res Ctr,Isfahan Univ Med Sci,Iran,"Simon I, Hay"
Fatemeh,Amiri,"Fatemeh, Amiri",Radiol & Nucl Med,Kermanshah Univ Med Sci,Iran,"Simon I, Hay"
Arianna Maever L,Amit,"Arianna Maever L, Amit",Epidemiol & Biostat,Univ Philippines Manila,Philippines,"Simon I, Hay"
Arianna Maever L,Amit,"Arianna Maever L, Amit",Sch Publ Hlth,Johns Hopkins Univ,USA,"Simon I, Hay"
Dickson A,Amugsi,"Dickson A, Amugsi",Maternal & Child Wellbeing,African Populat & Hlth Res Ctr,Kenya,"Simon I, Hay"
Robert,Ancuceanu,"Robert, Ancuceanu",Pharm,Carol Davila Univ Med & Pharm,Romania,"Simon I, Hay"
Catalina Liliana,Andrei,"Catalina Liliana, Andrei",Cardiol,Carol Davila Univ Med & Pharm,Romania,"Simon I, Hay"
Mina,Anjomshoa,"Mina, Anjomshoa",Social Determinants Hlth Res Ctr,Rafsanjan Univ Med Sci,Iran,"Simon I, Hay"
Fereshteh,Ansari,"Fereshteh, Ansari",Res Ctr Evidence Based Med,Tabriz Univ Med Sci,Iran,"Simon I, Hay"
Fereshteh,Ansari,"Fereshteh, Ansari",Razi Vaccine & Serum Res Inst,Agr Res Educ & Extens Org AREEO,Iran,"Simon I, Hay"
Alireza,Ansari Moghaddam,"Alireza, Ansari Moghaddam",Epidemiol & Biostat,Zahedan Univ Med Sci,Iran,"Simon I, Hay"
Mustafa Geleto,Ansha,"Mustafa Geleto, Ansha",Publ Hlth,Debre Berhan Univ,Ethiopia,"Simon I, Hay"
Carl Abelardo T,Antonio,"Carl Abelardo T, Antonio",Hlth Policy & Adm,Univ Philippines Manila,Philippines,"Simon I, Hay"
Carl Abelardo T,Antonio,"Carl Abelardo T, Antonio",Appl Social Sci,Hong Kong Polytech Univ,China,"Simon I, Hay"
Ernoiz,Antriyandarti,"Ernoiz, Antriyandarti",Agribusiness Study Program,Sebelas Maret Univ,Indonesia,"Simon I, Hay"
Davood,Anvari,"Davood, Anvari",Parasitol,Mazandaran Univ Med Sci,Iran,"Simon I, Hay"
Davood,Anvari,"Davood, Anvari",Parasitol,Iranshahr Univ Med Sci,Iran,"Simon I, Hay"
Morteza,Arab Zozani,"Morteza, Arab Zozani",Social Determinants Hlth Res Ctr,Birjand Univ Med Sci,Iran,"Simon I, Hay"
Olatunde,Aremu,"Olatunde, Aremu",Publ Hlth,Birmingham City Univ,England,"Simon I, Hay"
Bahram,Armoon,"Bahram, Armoon",Social Determinants Hlth Res Ctr,Saveh Univ Med Sci,Iran,"Simon I, Hay"
Mokhtar Mahdavi,Mahdavi,"Mokhtar Mahdavi, Mahdavi",Social Determinants Hlth Res Ctr,Saveh Univ Med Sci,Iran,"Simon I, Hay"
Bahram,Armoon,"Bahram, Armoon",Social Determinants Hlth Res Ctr,Yasuj Univ Med Sci,Iran,"Simon I, Hay"
Krishna K,Aryal,"Krishna K, Aryal",Monitoring Evaluat & Operat Res Project,Abt Associates Nepal,Nepal,"Simon I, Hay"
Afsaneh,Arzani,"Afsaneh, Arzani",Sch Nursing & Midwifery,Babol Univ Med Sci,Iran,"Simon I, Hay"
Afsaneh,Arzani,"Afsaneh, Arzani",Babol,Babol Univ Med Sci,Iran,"Simon I, Hay"
Mehran,Asadi Aliabadi,"Mehran, Asadi Aliabadi",Prevent Med & Publ Hlth Res Ctr,Iran Univ Med Sci,Iran,"Simon I, Hay"
Babak,Eshrati,"Babak, Eshrati",Prevent Med & Publ Hlth Res Ctr,Iran Univ Med Sci,Iran,"Simon I, Hay"
Maziar,Moradi Lakeh,"Maziar, Moradi Lakeh",Prevent Med & Publ Hlth Res Ctr,Iran Univ Med Sci,Iran,"Simon I, Hay"
Arash Tehrani Banih,Ashemi,"Arash Tehrani Banih, Ashemi",Prevent Med & Publ Hlth Res Ctr,Iran Univ Med Sci,Iran,"Simon I, Hay"
Samaneh,Asgari,"Samaneh, Asgari",Prevent Metab Disorders Res Ctr,Shahid Beheshti Univ Med Sci,Iran,"Simon I, Hay"
Zahra,Atafar,"Zahra, Atafar",Social Dev & Hlth Promot Res Ctr,Kermanshah Univ Med Sci,Iran,"Simon I, Hay"
Farzad,Jalilian,"Farzad, Jalilian",Social Dev & Hlth Promot Res Ctr,Kermanshah Univ Med Sci,Iran,"Simon I, Hay"
Mehdi,Mirzaei Alavijeh,"Mehdi, Mirzaei Alavijeh",Social Dev & Hlth Promot Res Ctr,Kermanshah Univ Med Sci,Iran,"Simon I, Hay"
Shahram,Saeidi,"Shahram, Saeidi",Social Dev & Hlth Promot Res Ctr,Kermanshah Univ Med Sci,Iran,"Simon I, Hay"
Moslem,Soofi,"Moslem, Soofi",Social Dev & Hlth Promot Res Ctr,Kermanshah Univ Med Sci,Iran,"Simon I, Hay"
Alireza,Zangeneh,"Alireza, Zangeneh",Social Dev & Hlth Promot Res Ctr,Kermanshah Univ Med Sci,Iran,"Simon I, Hay"
Marcel,Ausloos,"Marcel, Ausloos",Sch Business,Univ Leicester,England,"Simon I, Hay"
Marcel,Ausloos,"Marcel, Ausloos",Stat & Econometr,Bucharest Univ Econ Studies,Romania,"Simon I, Hay"
Nefsu,Awoke,"Nefsu, Awoke",Nursing,Wolaita Sodo Univ,Ethiopia,"Simon I, Hay"
Beatriz Paulina Ayala,Quintanilla,"Beatriz Paulina Ayala, Quintanilla",Judith Lumley Ctr,La Trobe Univ,Australia,"Simon I, Hay"
Martin Amogre,Ayanore,"Martin Amogre, Ayanore",Hlth Policy Planning & Management,Univ Hlth & Allied Sci,Ghana,"Simon I, Hay"
Yared Asmare,Aynalem,"Yared Asmare, Aynalem",Nursing,Debre Berhan Univ,Ethiopia,"Simon I, Hay"
Emerito Jose A,Faraon,"Emerito Jose A, Faraon",Nursing,Debre Berhan Univ,Ethiopia,"Simon I, Hay"
Wondimeneh Shibabaw,Shiferaw,"Wondimeneh Shibabaw, Shiferaw",Nursing,Debre Berhan Univ,Ethiopia,"Simon I, Hay"
Abbas,Azadmehr,"Abbas, Azadmehr",Cellular & Mol Biol Res Ctr,Babol Univ Med Sci,Iran,"Simon I, Hay"
Ebrahim,Babaee,"Ebrahim, Babaee",Publ Hlth Risk Sci Div,Publ Hlth Agcy Canada,Canada,"Simon I, Hay"
Alaa,Badawi,"Alaa, Badawi",Publ Hlth Risk Sci Div,Publ Hlth Agcy Canada,Canada,"Simon I, Hay"
Alaa,Badawi,"Alaa, Badawi",Nutr Sci,Univ Toronto,Canada,"Simon I, Hay"
Ashish D,Badiye,"Ashish D, Badiye",Forens Sci,Govt Inst Forens Sci,India,"Simon I, Hay"
Neeti,Kapoor,"Neeti, Kapoor",Forens Sci,Govt Inst Forens Sci,India,"Simon I, Hay"
Mohammad Amin,Bahrami,"Mohammad Amin, Bahrami",Healthcare Management & Educ,Shiraz Univ Med Sci,Iran,"Simon I, Hay"
Atif Amin,Baig,"Atif Amin, Baig",Unit Biochem,Sultan Zainal Abidin Univ Univ Sultan Zainal Abid,Malaysia,"Simon I, Hay"
Claudiu,Herteliu,"Claudiu, Herteliu",Unit Biochem,Sultan Zainal Abidin Univ Univ Sultan Zainal Abid,Malaysia,"Simon I, Hay"
Ahad,Bakhtiari,"Ahad, Bakhtiari",Hlth Policy Management & Econ,Univ Tehran Med Sci,Iran,"Simon I, Hay"
Seyyed Meysam,Mousavi,"Seyyed Meysam, Mousavi",Hlth Policy Management & Econ,Univ Tehran Med Sci,Iran,"Simon I, Hay"
Senthilkumar,Balakrishnan,"Senthilkumar, Balakrishnan",Med Microbiol,Haramaya Univ,Ethiopia,"Simon I, Hay"
Maciej,Banach,"Maciej, Banach",Hypertens,Med Univ Lodz,Poland,"Simon I, Hay"
Maciej,Banach,"Maciej, Banach",Lodz,Polish Mothers Mem Hosp Res Inst,Poland,"Simon I, Hay"
Palash Chandra,Banik,"Palash Chandra, Banik",Noncommunicable Dis,Bangladesh Univ Hlth Sci,Bangladesh,"Simon I, Hay"
Aleksandra,Barac,"Aleksandra, Barac",Clin Infect & Trop Dis,Clin Ctr Serbia,Serbia,"Simon I, Hay"
Aleksandra,Barac,"Aleksandra, Barac",Fac Med,Univ Belgrade,Serbia,"Simon I, Hay"
Irena M,Ilic,"Irena M, Ilic",Fac Med,Univ Belgrade,Serbia,"Simon I, Hay"
Zahra,Baradaran Seyed,"Zahra, Baradaran Seyed",Razi Vaccine & Serum Res Inst,Agr Res Educ & Extens Org AREEO,Iran,"Simon I, Hay"
Adhanom Gebreegziabher,Baraki,"Adhanom Gebreegziabher, Baraki",Epidemiol & Biostat,Univ Gondar,Ethiopia,"Simon I, Hay"
Atalay Goshu,Muluneh,"Atalay Goshu, Muluneh",Epidemiol & Biostat,Univ Gondar,Ethiopia,"Simon I, Hay"
Zemenu Tadesse,Tessema,"Zemenu Tadesse, Tessema",Epidemiol & Biostat,Univ Gondar,Ethiopia,"Simon I, Hay"
Yigizie,Yeshaw,"Yigizie, Yeshaw",Epidemiol & Biostat,Univ Gondar,Ethiopia,"Simon I, Hay"
Sanjay,Basu,"Sanjay, Basu",Ctr Primary Care,Harvard Univ,USA,"Simon I, Hay"
Sanjay,Basu,"Sanjay, Basu",Sch Publ Hlth,Imperial Coll London,England,"Simon I, Hay"
Mohsen,Bayati,"Mohsen, Bayati",Hlth Human Resources Res Ctr,Shiraz Univ Med Sci,Iran,"Simon I, Hay"
Yibeltal Tebekaw,Bayou,"Yibeltal Tebekaw, Bayou",Monitoring Evaluat & Res,JSI Res & Training Inst,Ethiopia,"Simon I, Hay"
Neeraj,Bedi,"Neeraj, Bedi",Community Med,Gandhi Med Coll Bhopal,India,"Simon I, Hay"
Neeraj,Bedi,"Neeraj, Bedi",Jazan,Jazan Univ,Arabia,"Simon I, Hay"
Masoud,Behzadifar,"Masoud, Behzadifar",Social Determinants Hlth Res Ctr,Lorestan Univ Med Sci,Iran,"Simon I, Hay"
Michelle L,Bell,"Michelle L, Bell",Sch Environm,Yale Univ,USA,"Simon I, Hay"
Dessalegn Ajema,Berbada,"Dessalegn Ajema, Berbada",Publ Hlth,Arba Minch Univ,Ethiopia,"Simon I, Hay"
Muluken Bekele,Sorrie,"Muluken Bekele, Sorrie",Publ Hlth,Arba Minch Univ,Ethiopia,"Simon I, Hay"
Kidanemaryam,Berhe,"Kidanemaryam, Berhe",Nutr & Dietet,Mekelle Univ,Ethiopia,"Simon I, Hay"
Suraj,Bhattarai,"Suraj, Bhattarai",Global Hlth,Global Inst Interdisciplinary Studies,Nepal,"Simon I, Hay"
Zulfiqar A,Bhutta,"Zulfiqar A, Bhutta",Ctr Global Child Hlth,Univ Toronto,Canada,"Simon I, Hay"
Zulfiqar A,Bhutta,"Zulfiqar A, Bhutta",Ctr Excellence Women & Child Hlth,Aga Khan Univ,Pakistan,"Simon I, Hay"
Ali,Bijani,"Ali, Bijani",Social Determinants Hlth Res Ctr,Babol Univ Med Sci,Iran,"Simon I, Hay"
Simin,Mouodi,"Simin, Mouodi",Social Determinants Hlth Res Ctr,Babol Univ Med Sci,Iran,"Simon I, Hay"
Minyichil,Birhanu,"Minyichil, Birhanu",Pediat & Child Hlth Nursing,Bahir Dar Univ,Ethiopia,"Simon I, Hay"
Donal,Bisanzio,"Donal, Bisanzio",Global Hlth Div,Res Triangle Inst Int,USA,"Simon I, Hay"
Donal,Bisanzio,"Donal, Bisanzio",Sch Med,Univ Nottingham,England,"Simon I, Hay"
Atanu,Biswas,"Atanu, Biswas",Neurol,Inst Postgrad Med Educ & Res & Seth Sukhlal Karna,India,"Simon I, Hay"
Somayeh,Bohlouli,"Somayeh, Bohlouli",Vet Med,Islamic Azad Univ,Iran,"Simon I, Hay"
Srinivasa Rao,Bolla,"Srinivasa Rao, Bolla",Biomed Sci,Nazarbayev Univ,Kazakhstan,"Simon I, Hay"
Shiva,Borzouei,"Shiva, Borzouei",Endocrinol,Hamadan Univ Med Sci,Iran,"Simon I, Hay"
Nicola Luigi,Bragazzi,"Nicola Luigi, Bragazzi",Genoa,Univ Genoa,Italy,"Simon I, Hay"
Andrey Nikolaevich,Briko,"Andrey Nikolaevich, Briko",Biomed Technol,Bauman Moscow State Tech Univ,Russia,"Simon I, Hay"
Nikolay Ivanovich,Briko,"Nikolay Ivanovich, Briko",Epidemiol & Evidence Based Med,IM Sechenov First Moscow State Med Univ,Russia,"Simon I, Hay"
