name,type
Chhatrapati Shahu Ji Maharaj Univ,University
Natl Inst Mental Hlth & Neurosci,Institute
Univ Transdisciplinary Hlth Sci & Technol,University
Banaras Hindu Univ,University
Ashtamgam Ayurveda Vidyapeetham,Hospital
All India Inst Med Sci,Institute
Amrita Vishwa Vidyapeetham,University
IISER,Research
Kapoor Path Labs,Research
Profess Assistance Dev Act PRADAN,School
Amity Univ Uttar Pradesh,University
Etiol Elus Disorders Res Network EEDRN,Research
All India Inst Med Sci AIIMS,Institute
Nil RatanSircar Med Coll & Hosp NRSMCH,College
Natl Brain Res Ctr,Research
Postgrad Inst Med Educ & Res PGIMER,Institute
Maulana Azad Med Coll MAMC,College
DAC&FW,Institute
Natl Inst Technol NIT,Institute
GM Inst Technol,Institute
Davangere Univ,University
Karnatak Univ,University
Natl Inst Technol,Institute
TN Med Coll & BYL Nair Ch Hosp,College
BYL Nair Charitable Hosp,Hospital
ICMR Natl Inst Res Reprod Hlth,Institute
ICAR Indian Inst Water Management,Institute
ICAR Natl Bur Agr Important Microorgan,Research
Alagappa Univ,University
ICAR Indian Agr Stat Res Inst,Institute
Indian Inst Publ Hlth Gandhinagar,Institute
Biomac Life Sci Pvt Ltd,Institute
ICAR Indian Vet Res Inst,Institute
Rani Lakshmi Bai Cent Agr Univ,University
Vel Tech RangarajanDr Sagunthala R&D Inst Sci & T,Institute
PerunthalaivarKamarajar Inst Engn & Technol,Institute
Army Coll Med Sci,College
Base Hosp Delhi Cantt,Hospital
Univ Delhi,University
Cent Univ Jharkhand,University
Wadia Inst Himalayan Geol,Institute
Johns Hopkins Univ,University
Byramjee Jeejeebhoy Govt Med Coll,College
ICMR Natl Inst Virol,Institute
Indian Council Med Res,Research
Jawaharlal Nehru Univ,University
ICAR Natl Res Ctr Meat,Research
Post Grad Inst Med Educ & Res,Institute
Samvedana Grp Hosp & Res Ctr,Hospital
King Georges Med Univ,University
JSS Acad Higher Educ & Res,Academy
Fortis Hosp Mohali,Hospital
CMC,College
St Johns Med Coll Hosp,College
Natl Inst Mental Hlth & Neurosci NIMHANS,Institute
Jamia Millia Islamia,University
Apollo Hlth City,Hospital
Apollo Telemed Networking Fdn,Hospital
King George Med Univ,University
Sanjay Gandhi Postgrad Inst Med Sci,Institute
Int Food Policy Res Inst IFPRI,Institute
IFPRI,Institute
Indian Inst Technol Kharagpur,Institute
Theatre Arpana & Tamaasha Theatre,Academy
ICMR Reg Med Res Ctr,Research
Utkal Univ,University
Indian Inst Management IIMA,Institute
Bharathiar Univ,University
CHRIST Deemed Univ,University
Inst Forest Genet & Tree Breeding IFGTB,Institute
St Xaviers Coll,College
Sher E Kashmir Univ Agr Sci & Technol Kashmir,University
UP Deen Dayal Upadhayay Pashu Chikitsa Vigyan Vis,University
Tata Mem Hosp,Hospital
Inst Publ Hlth,Institute
Univ Lucknow,University
Hemvati Nandan Bahuguna Garhwal Univ,University
IIHMR Univ,University
Uttarakhand Council Biotechnol UCB,College
CCS Univ,University
Govt Med Coll,College
Acad Biol Sci & Res Fdn ABSRF,Academy
Noida Inst Engn & Technol,Institute
Venkat Ctr Skin & Plast Surg,Research
Savitribai Phule Pune Univ,University
Ctr Dev Adv Comp,Research
SL Raheja Hosp Fortis Associate,Hospital
Punjabi Univ,University
Cadila Healthcare Ltd,Hospital
Bharat Inst Higher Educ & Res,Institute
Sathyabama Inst Sci & Technol,Institute
Teresian Res Fdn,Research
Thapar Inst Engn & Technol,Institute
Instrumentat Lab India Private Ltd,Institute
Indira Gandhi Med Coll,College
Dr Rajendra Prasad Govt Med Coll,College
Cochin Univ Sci & Technol,University
Manipal Acad Higher Educ,Academy
Coll Pharmaceut Sci,College
Osmania Univ,University
Zydus Hosp,Hospital
GCS Med Coll,College
Yashoda Hosp,Hospital
Senthil Multi Specialty Hosp,Hospital
Geetanjali Med Coll & Hosp,College
Indian Inst Technol,Institute
Easwari Engn Coll,College
Anna Univ,University
Univ Gour Banga UGB,University
Natl Atmospher Res Lab,Research
Panjab Univ,University
Post Grad Inst Med Educ & Res PGIMER,Institute
Indian Inst Management Ahmedabad,Institute
Homi Bhabha Natl Inst HBNI,Institute
ICMR Natl Inst Epidemiol,Institute
Univ Madras,University
Meenakshi Acad Higher Res & Educ Deemed Univ,University
SIMATS,University
Uttar Pradesh Pandit Deen Dayal Upadhyaya Pashu C,Hospital
Bharathidasan Univ,University
CSIR,Research
Acad Sci & Innovat Res AcSIR,Academy
Amity Univ,University
Environm Syst Res Inst,Institute
ZiMetr Technol Pvt Ltd,Others
Cent Univ Punjab,University
SVKMs NMIMS Univ,University
Supaul BN Mandal Univ,University
Cent Univ Rajasthan,University
St Josephs Coll,College
Ramaiah Univ Appl Sci,University
Joshi Clin,Hospital
Lilavati Hosp & Res Ctr,Hospital
Nanavati Super Specialty Hosp,Hospital
Vora Clin,Hospital
Metro Resp Ctr,Research
Shilpa Med Res Ctr,Research
Glenmark Pharmaceut Ltd,Others
Int Ctr Genet Engn & Biotechnol,Research
Aligarh Muslim Univ,University
Smt GR Doshi & Smt KM Mehta Inst Kidney Dis & Res,Institute
Dr HL Trivedi Inst Transplantat Sci,Institute
Indian Soc Organ Transplantat,Hospital
Natl Organ & Tissue Transplant Org,Hospital
Vardhman Mahavir Med Coll,College
Safdarjang Hosp,Hospital
Multi Organ Harvesting Aid Network Fdn,Others
Transplant Author Tamil Nadu,Hospital
Indraprastha Apollo Hosp,Hospital
Osmania Med Coll & Hosp,College
