full_name,publication_year,team_id,gender
"Li Hai long, Li Hai long",2015,822,female
"Xi Jian xiang, Xi Jian xiang",2015,822,male
"Li Hui, Li Hui",2015,822,female
"Cao Yao qing, Cao Yao qing",2015,822,female
"D, Li",2005,823,male
"XL, Sun",2005,823,female
"K, McKinnon",2005,823,male
"Maria, Prandini",2010,824,male
"John, Lygeros",2010,824,female
"Pier Luigi, Gentili",2019,825,male
"D T, Hristopulos",2020,826,male
"B, Spagnolo",2020,826,female
"D, Valenti",2020,826,male
"A, Garas",2009,827,female
"P, Argyrakis",2009,827,female
"A, Benfenati",2013,828,male
"V, Coscia",2013,828,female
"Rabia, Korkmaz Tan",2020,829,male
"Sebnem, Bora",2020,829,female
"Nikolaos, Kalogeropoulos",2017,830,female
"R, GUNTHER",1994,831,male
"B, SCHAPIRO",1994,831,female
"P, WAGNER",1994,831,female
"Xiao Jun, Yang",2016,832,male
"Zhi Zhen, Zhang",2016,832,female
"J A Tenreiro, Machado",2016,832,male
"Dumitru, Baleanu",2016,832,male
"M L, Mouronte",2009,833,female
"V, Feliu",2009,833,male
"R, van Wijngaarden",2009,833,male
"L G, Moyano",2009,833,female
"R M, Benito",2009,833,male
"J P, Cardenas",2009,833,female
"A, Santiago",2009,833,female
"Matthew A, Widmer",2018,834,male
"R Chad, Swanson",2018,834,female
"Brian J, Zink",2018,834,male
"Jesse M, Pines",2018,834,female
"Piergiulio, Tempesta",2020,835,female
"HP, BREUER",1995,836,male
"F, PETRUCCIONE",1995,836,female
"Hamish, Simmonds",2018,837,female
"Aaron, Gazley",2018,837,male
"Kate, Daellenbach",2018,837,female
"Wei, Xu",2007,838,male
"Changchang, Che",2019,839,male
"Huawei, Wang",2019,839,female
"Xiaomei, Ni",2019,839,male
"R, Bagrodia",1998,840,male
"R, Meyer",1998,840,female
"M, Takai",1998,840,male
"YA, Chen",1998,840,female
"XA, Zeng",1998,840,female
"J, Martin",1998,840,male
"HY, Song",1998,840,female
"Sylvia, Walby",2021,841,male
"HB, Wang",2001,842,female
"M, Thoss",2001,842,female
"WH, Miller",2001,842,male
"Ling, Zhang",2007,843,female
"Ying, Bai",2007,843,female
"Zhiguo, Shang",2007,843,male
"Yanke, Zhang",2007,843,female
"Yujun, Mo",2007,843,male
"S, King",2010,844,male
"P, Flint",2010,844,female
"S, Sundaram",2010,844,male
"Hakan, Alm",2012,845,male
"Anna Lisa, Osvalder",2012,845,female
"A, Schoneveld",1999,846,male
"JF, de Ronde",1999,846,female
"Giovanni Battista, Dagnino",2008,847,female
"Gabriella, Levanti",2008,847,male
"Arabella Mocciaro Li, Destri",2008,847,female
"A M S, Macedo",2017,848,male
"Ivan R, Gonzalez",2017,848,female
"G L, Vasconcelos",2017,848,female
"D S P, Salazar",2017,848,male
"Yorghos, Apostolopoulos",2018,849,female
"Michael Kenneth, Lemke",2018,849,female
"Idethia Shevon, Harvey",2018,849,male
"Jameisha, Brown",2018,849,female
"Niyousha, Hosseinichimeh",2018,849,male
"Kristen Hassmiller, Lich",2018,849,male
"Kristen Hassmiller, Lich",2013,850,female
"Elizabeth M, Ginexi",2013,850,male
"Nathaniel D, Osgood",2013,850,male
"Patricia L, Mabry",2013,850,female
"Dionessa C, Biton",2020,851,male
"Rene C, Batac",2020,851,female
"Anjali B, Tarun",2020,851,female
"RA, Morris",1997,852,male
"AJ, Gonzalez",1997,852,female
"DJ, Carreira",1997,852,male
"Ricard, Horta Bernus",2015,853,female
"Marti, Rosas Casals",2015,853,female
"Paul, Cilliers",2013,854,male
"Jan Hendrik S, Hofmeyr",2013,854,female
"Graham P W, Jewitt",2013,854,female
"Dirk J, Roux",2013,854,male
"Yue, Chen",2021,855,female
"Jian, Shi",2021,855,male
"Xiao Jian, Yi",2021,855,male
"B, Meunier",1998,856,female
"PR, Rich",1998,856,male
"KB, DEGREENE",1994,857,male
"Matteo, Marsili",2013,858,female
"Iacopo, Mastromatteo",2013,858,male
"Yasser, Roudi",2013,858,female
"Douglas A, Luke",2012,859,female
"Katherine A, Stamatakis",2012,859,male
"Franck, Marle",2020,860,female
"Antonio G, Valdecasas",2009,861,male
"Jesus, Juez",2009,861,female
"Carmen R, Guerrero",2009,861,female
"Nikhil, Bugalia",2021,862,male
"Yu, Maemura",2021,862,female
"Kazumasa, Ozawa",2021,862,female
"Boyi, Zhang",2021,863,male
"Pengjian, Shang",2021,863,female
"Jinzhao, Liu",2021,863,male
"Robert C, Bishop",2008,864,male
"Sara, Kaviani",2020,865,female
"Insoo, Sohn",2020,865,male
