full_name,publication_year,team_id,gender,position
"Constantin, Aliferis",2016,398,male,last
"Robert M, Hazen",2010,399,unknown,first
"Niles, Eldredge",2010,399,unknown,last
"T, Brabec",2005,400,female,first
"M, Cote",2005,400,male,other
"P, Boulanger",2005,400,male,other
"L, Ramunno",2005,400,unknown,last
"Richard, Dikau",2006,401,female,first
"Fan Dongping, Fan Dongping",2007,402,female,first
"Iris R, Bell",2013,403,male,first
"Mary, Koithan",2013,403,female,other
"Kathryn, Niemeyer",2013,403,male,last
"CM, Mitchell",1997,404,female,first
"GA, Sundstrom",1997,404,female,last
"Cristian, Toma",2012,405,female,first
"Richard, Plate",2010,406,male,first
"NQ, Feng",2005,407,male,first
"YH, Qiu",2005,407,unknown,other
"F, Wang",2005,407,female,other
"YS, Zhang",2005,407,female,other
"SQ, Yin",2005,407,male,last
"A, CONIGLIO",1993,408,female,first
"N, Bellomo",2014,409,female,first
"F, Brezzi",2014,409,female,last
"JS, Shi",1995,410,female,first
"SM, Abourizk",1995,410,female,last
"G, NICOLIS",1994,411,unknown,first
"P, GASPARD",1994,411,male,last
"Marton, Posfai",2014,412,female,first
"Philipp, Hoevel",2014,412,male,last
"DG, WILLINGHAM",1990,413,unknown,first
"JD, FORSTER",1990,413,female,last
"M, Svitek",2019,414,male,first
"Yunus, Bicen",2020,415,female,first
"Yacov Y, Haimes",2018,416,male,first
"Ricardo, Cavieses Nunez",2021,417,female,first
"Miguel A, Ojeda Ruiz",2021,417,female,other
"Alfredo, Flores Irigollen",2021,417,female,other
"Elvia, Marin Monroy",2021,417,female,other
"Carlos, Sanchez Ortiz",2021,417,male,other
"Mirtha, Lbanez Lucero",2021,417,female,last
"Jan, Korbel",2018,418,female,first
"Rudolf, Hanel",2018,418,unknown,other
"Stefan, Thurner",2018,418,female,last
"Claire, Christensen",2007,419,female,first
"Reka, Albert",2007,419,unknown,last
"Agnieszka, Kowalska Styczen",2018,420,male,first
"Krzysztof, Malarz",2018,420,unknown,other
"Kamil, Paradowski",2018,420,unknown,last
"James P L, Tan",2016,421,unknown,first
"J, Bellazzini",2004,422,female,first
"Marc, Timme",2020,423,male,first
"Michelle Hoda, Wilkerson Jerde",2015,424,male,first
"Uri J, Wilensky",2015,424,female,last
"Xiangrong, Wang",2021,425,male,first
"Yi, Wang",2021,425,female,other
"Alejandro, Tejedor",2021,425,male,other
"Yamir, Moreno",2021,425,unknown,last
"Yanqing, Lv",2013,426,female,first
"Jianmin, Gao",2013,426,male,other
"Zhiyong, Gao",2013,426,female,other
"Hongquan, Jiang",2013,426,female,last
"Ruirui, Chen",2020,427,male,first
"Chun Hsien, Chen",2020,427,female,other
"Yusheng, Liu",2020,427,male,other
"Xiaoping, Ye",2020,427,female,last
"Shital A, Thekdi",2019,428,female,first
"Joost, Santos",2019,428,male,last
"DE, Koulouriotis",2005,429,female,first
"IE, Diakoulakis",2005,429,unknown,other
"DM, Emiris",2005,429,female,other
"CD, Zopounidis",2005,429,male,last
"Balkrishna C, Rao",2020,430,female,first
"B, STILMAN",1993,431,female,first
"MJ, Jacobson",2006,432,male,first
"U, Wilensky",2006,432,female,last
"Ralf, Widenhorn",2010,433,male,first
"Erik, Bodegom",2010,433,female,other
"Dan, Iordache",2010,433,female,other
"Ionel, Tunaru",2010,433,male,last
"LAN, Amaral",2004,434,female,first
"JM, Ottino",2004,434,female,last
"Huajian, Yu",2021,435,male,first
"Liuchun, Zheng",2021,435,female,other
"Tao, Zhang",2021,435,female,other
"Jingjing, Ren",2021,435,female,other
"Wen, Cheng",2021,435,male,other
"Lijuan, Zhang",2021,435,female,other
"Peipei, Meng",2021,435,male,last
"I, Apostol",2013,436,female,first
"D, Iordache",2013,436,female,last
"Cuimei, Jiang",2015,437,male,first
"Shutang, Liu",2015,437,female,last
"Stefana, Agop",2021,438,male,first
"Gavril, Stefan",2021,438,male,other
"Vladimir Alexandru, Paun",2021,438,unknown,other
"Tudor Cristian, Petrescu",2021,438,male,other
"Maricel, Agop",2021,438,unknown,other
"Viorel Puiu, Paun",2021,438,male,last
"Junwei, Sun",2015,439,male,first
"Guangzhao, Cui",2015,439,unknown,other
"Yanfeng, Wang",2015,439,female,other
"Yi, Shen",2015,439,unknown,last
"Jeryang, Park",2014,440,female,first
"P Suresh C, Rao",2014,440,unknown,last
"M, Anand",2004,441,female,first
"RE, Desrochers",2004,441,male,last
"Fabian, Adelt",2014,442,female,first
"Johannes, Weyer",2014,442,unknown,other
"Robin D, Fink",2014,442,unknown,last
"MAF, Gomes",1995,443,female,first
"FAO, deSouza",1995,443,female,other
"SK, Adhikari",1995,443,female,last
"Simone, Cheli",2018,444,male,first
"Zhifu, Huang",2013,445,female,first
"Congjie, Ou",2013,445,unknown,other
"Bihong, Lin",2013,445,female,other
"Guozhen, Su",2013,445,female,other
"Jincan, Chen",2013,445,unknown,last
"A K, Sinha",2021,446,male,first
"K A, Loparo",2021,446,unknown,last
"Brent A, Langellier",2019,447,female,first
"Usama, Bilal",2019,447,male,other
"Felipe, Montes",2019,447,female,other
"Jose D, Meisel",2019,447,female,other
"Leticia de Oliveira, Cardoso",2019,447,male,other
"Ross A, Hammond",2019,447,male,last
"Zuhal, Tompkins",2020,448,female,first
"Michael, Grenn",2020,448,male,other
"Blake, Roberts",2020,448,female,last
"Albrecht, Mayer",2007,449,unknown,first
"Harry, Siebert",2007,449,female,other
"Klaus D, McDonald Maier",2007,449,unknown,last
"TJ, Wheeler",2006,450,female,first
"Joseph E, Lawrence",2020,451,unknown,first
"David E, Manolopoulos",2020,451,unknown,last
"Benjamin, Allen",2017,452,female,first
"Blake C, Stacey",2017,452,male,other
"Yaneer, Bar Yam",2017,452,female,last
"Frederic, Amblard",2008,453,female,first
"Wander, Jager",2008,453,male,last
"Xiaoming, Wang",2008,454,unknown,first
"Margaret, Morrison",2014,455,male,first
"Ping, Liu",2012,456,female,first
"Shutang, Liu",2012,456,male,other
"Xiang, Li",2012,456,female,last
"Chris, Eliasmith",2012,457,female,first
"Naoki, Kobayashi",2011,458,female,first
"Jun ichi, Wakita",2011,458,male,other
"Mitsugu, Matsushita",2011,458,female,other
"Hiroto, Kuninaka",2011,458,male,last
"E, Capobianco",2003,459,male,first
"A, Mandowski",2004,460,female,first
"RD, YOUNG",1991,461,female,first
"R, SCHOLL",1991,461,male,last
"Joshua Logan, Grumbach",2020,462,female,first
"Lawrence Dale, Thomas",2020,462,unknown,last
"IK, Kokhanenko",2002,463,male,first
"Jing, Wang",2017,464,female,first
"Xue Ping, Guo",2017,464,female,other
"Hong Xiu, Zhong",2017,464,female,last
"Istvan A, Kovacs",2020,465,female,first
"Robert, Juhasz",2020,465,male,last
"Renbin, Xiao",2015,466,female,first
"Yaofeng, Zhang",2015,466,unknown,other
"Zhendong, Huang",2015,466,female,last
